code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,if (...) NULL,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
TAEUKOL,LES NEPTUNES DE NANTES,THOMSEN helle,BREST BRETAGNE HANDBALL,MOREL pablo,J4,23,27,rencontre_D1F_2324_551.pdf,9,9,9,R,0,-1,0,1,1,F,1,1,D1,2324,9,9,0,0
TAEUQKN,CESSON RENNES METROPOLE HB,LERICHE sebastien,C'CHARTRES METROPOLE HANDBALL,STOJINOVIC nebojsa,J7,27,28,rencontre_D1H_2324_488.pdf,12,13,13,R,-1,-1,0,1,1,H,1,1,D1,2324,8,10,-2,0
TAEUTEG,NOISY LE GRAND HANDBALL,GHERRAM farid,LOMME LILLE METROPOLE HB,WORM laurent,J1,27,26,rencontre_D2F_1_2324_222.pdf,13,14,14,R,-1,1,1,1,1,F,1,1,D2,2324,0,0,0,0
TAEUTEI,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J1,26,25,rencontre_D2F_1_2324_224.pdf,9,11,11,R,-1,1,1,1,1,F,1,1,D2,2324,0,0,0,0
TAEUTEJ,TOULOUSE FEMININ HANDBALL,VEDEL fabien,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J1,29,23,rencontre_D2F_1_2324_225.pdf,12,10,10,R,1,1,1,0,1,F,1,1,D2,2324,0,0,0,0
TAEUTEM,SAMBRE AVESNOIS HANDBALL,PETIT clement,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J2,28,26,rencontre_D2F_1_2324_228.pdf,16,13,13,R,1,1,1,1,1,F,1,1,D2,2324,3,3,0,0
TAEUTEN,STADE PESSACAIS UNION CLUB HANDBALL,HOAREAU marc,TOULOUSE FEMININ HANDBALL,VEDEL fabien,J2,35,26,rencontre_D2F_1_2324_229.pdf,14,16,16,R,-1,1,1,1,1,F,1,1,D2,2324,1,3,-2,-0.626962328219399
TAEUTEP,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J2,25,31,rencontre_D2F_1_2324_231.pdf,9,12,12,R,-1,-1,0,1,0,F,1,1,D2,2324,1,3,-2,-0.626962328219399
TAEUTEQ,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,NOISY LE GRAND HANDBALL,GHERRAM farid,J2,27,29,rencontre_D2F_1_2324_232.pdf,13,16,16,R,-1,-1,0,1,1,F,1,1,D2,2324,1,3,-2,-0.626962328219399
TAEUTER,ASUL VAULX EN VELIN,MODENEL sebastien,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,J2,24,26,rencontre_D2F_1_2324_233.pdf,10,10,10,R,0,-1,0,1,1,F,1,1,D2,2324,1,3,-2,-0.626962328219399
TAEUTET,CELLES SUR BELLE MELLOIS EN POITOU,VINCENT thierry,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J3,26,30,rencontre_D2F_1_2324_235.pdf,15,15,15,R,0,-1,0,1,1,F,1,1,D2,2324,6,2,4,1.51382517704875
TAEUTEV,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ASUL VAULX EN VELIN,MODENEL sebastien,J3,29,23,rencontre_D2F_1_2324_237.pdf,14,12,12,R,1,1,1,1,1,F,1,1,D2,2324,4,2,2,0.688102353203976
TAEUTEY,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,STADE PESSACAIS UNION CLUB HANDBALL,HOAREAU marc,J3,34,33,rencontre_D2F_1_2324_240.pdf,17,17,17,R,0,1,1,1,1,F,0,1,D2,2324,4,4,0,0
TAEUTEZ,LE POUZIN HB,KIEFFER sylvain,TOULOUSE FEMININ HANDBALL,VEDEL fabien,J3,26,21,rencontre_D2F_1_2324_241.pdf,11,8,8,R,1,1,1,1,1,F,0,1,D2,2324,1,4,-3,-1.37620470640795
TAEUTFC,TOULOUSE FEMININ HANDBALL,VEDEL fabien,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J4,26,28,rencontre_D2F_1_2324_244.pdf,11,14,14,R,-1,-1,0,1,1,F,1,1,D2,2324,5,7,-2,-1.01389374950229
TAEUTFE,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,LE POUZIN HB,KIEFFER sylvain,J4,27,19,rencontre_D2F_1_2324_246.pdf,13,11,11,R,1,1,1,1,1,F,1,1,D2,2324,5,4,1,0.389959134423956
