code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,if (...) NULL,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
RADNUUN,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J13,27,24,rencontre_D2F_1_2122_229.pdf,14,11,11,R,1,1,1,1,1,F,1,1,D2,2122,NA,27,NA,NA
RADNUUP,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J13,24,21,rencontre_D2F_1_2122_231.pdf,11,12,12,R,-1,1,1,1,1,F,1,1,D2,2122,23,28,-5,-0.679296552617991
RADNUUT,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J14,25,31,rencontre_D2F_1_2122_235.pdf,12,15,15,R,-1,-1,0,1,0,F,1,1,D2,2122,NA,28,NA,NA
RADNUUW,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HBC AULNOYE AYMERIES,PETIT clement,J14,21,26,rencontre_D2F_1_2122_238.pdf,7,10,10,R,-1,-1,0,1,1,F,1,1,D2,2122,33,31,2,0.153815818411797
RADNUUX,HB OCTEVILLE SUR MER,BOIVIN gautier,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J14,32,26,rencontre_D2F_1_2122_239.pdf,16,13,13,R,1,1,1,1,1,F,1,1,D2,2122,19,29,-10,-1.07671072888258
RADNUUZ,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J15,24,23,rencontre_D2F_1_2122_241.pdf,11,11,11,R,0,1,1,1,1,F,1,1,D2,2122,26,24,2,0.271375629627919
RADNUVA,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,RENNES METROPOLE HB,MANTES olivier,J15,24,29,rencontre_D2F_1_2122_242.pdf,11,12,12,R,-1,-1,0,1,1,F,1,0,D2,2122,14,21,-7,-1.15334642591866
RADNUVE,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J15,24,28,rencontre_D2F_1_2122_246.pdf,15,12,12,R,1,-1,0,1,1,F,1,1,D2,2122,30,34,-4,-0.678439074069798
RADNUVH,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J16,23,30,rencontre_D2F_1_2122_249.pdf,10,13,13,R,-1,-1,0,1,1,F,1,1,D2,2122,30,29,1,0.0976830831455704
RADNUVJ,HB OCTEVILLE SUR MER,BOIVIN gautier,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J16,21,26,rencontre_D2F_1_2122_251.pdf,11,11,11,R,0,-1,0,1,1,F,1,1,D2,2122,23,32,-9,-0.879147748310134
RADNUVN,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J17,23,25,rencontre_D2F_1_2122_255.pdf,9,8,8,R,1,-1,0,1,1,F,1,1,D2,2122,NA,31,NA,NA
RADNUVO,HBC AULNOYE AYMERIES,PETIT clement,NOISY LE GRAND HANDBALL,GHERRAM farid,J17,31,28,rencontre_D2F_1_2122_256.pdf,13,14,14,R,-1,1,1,0,0,F,1,1,D2,2122,39,35,4,-0.281922693495721
RADNUVP,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HB OCTEVILLE SUR MER,BOIVIN gautier,J17,31,31,rencontre_D2F_1_2122_257.pdf,16,13,13,R,1,0,0,1,1,F,0,1,D2,2122,32,24,8,0.0741901824988738
RADNUVQ,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,RENNES METROPOLE HB,MANTES olivier,J17,27,24,rencontre_D2F_1_2122_258.pdf,12,11,11,R,1,1,1,1,1,F,1,1,D2,2122,32,25,7,-0.0148380364997748
RADNUVU,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,HBC AULNOYE AYMERIES,PETIT clement,J18,0,1,rencontre_D2F_1_2122_262.pdf,0,1,1,R,-1,-1,0,0,0,F,0,0,D2,2122,17,42,-25,-1.67719617605902
RADNUVX,STELLA SAINT-MAUR HANDBALL,SAMSON remi,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J18,24,18,rencontre_D2F_1_2122_265.pdf,8,9,9,R,-1,1,1,0,1,F,0,1,D2,2122,43,34,9,1.32410224425712
RADNUVY,RENNES METROPOLE HB,MANTES olivier,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J18,24,25,rencontre_D2F_1_2122_266.pdf,12,14,14,R,-1,-1,0,1,1,F,0,1,D2,2122,26,38,-12,-0.52964089770285006
RADNUVZ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J18,32,31,rencontre_D2F_1_2122_267.pdf,15,16,16,R,-1,1,1,1,1,F,1,1,D2,2122,35,36,-1,0.441367414752375
RADNUWB,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,HB OCTEVILLE SUR MER,BOIVIN gautier,J19,33,29,rencontre_D2F_1_2122_269.pdf,14,13,13,R,1,1,1,1,1,F,1,1,D2,2122,35,29,6,-0.046463906916458
RADNUWD,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J19,24,26,rencontre_D2F_1_2122_271.pdf,10,10,10,R,0,-1,0,1,0,F,1,1,D2,2122,NA,46,NA,NA
RADNUWF,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J19,28,31,rencontre_D2F_1_2122_273.pdf,18,16,16,R,1,-1,0,1,1,F,1,0,D2,2122,35,38,-3,-1.30098939366083
RADNUWI,HBC AULNOYE AYMERIES,PETIT clement,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J20,34,25,rencontre_D2F_1_2122_276.pdf,12,11,11,R,1,1,1,1,1,F,1,1,D2,2122,46,39,7,0.631644628176196
RADNUWJ,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J20,28,24,rencontre_D2F_1_2122_277.pdf,10,10,10,R,0,1,1,1,1,F,1,1,D2,2122,49,38,11,0.895615517563264
RADNUWN,RENNES METROPOLE HB,MANTES olivier,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J20,24,24,rencontre_D2F_1_2122_281.pdf,10,13,13,R,-1,0,1,1,1,F,1,1,D2,2122,30,36,-6,-0.226260762331772
RADNUWR,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J21,26,23,rencontre_D2F_1_2122_285.pdf,14,12,12,R,1,1,1,1,0,F,1,1,D2,2122,39,44,-5,-0.308068275495613
RADNUWT,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,RENNES METROPOLE HB,MANTES olivier,J21,22,27,rencontre_D2F_1_2122_287.pdf,9,11,11,R,-1,-1,0,1,1,F,1,1,D2,2122,NA,32,NA,NA
RADNUWU,ASUL VAULX EN VELIN,SEUTCHIE ludovic,NOISY LE GRAND HANDBALL,GHERRAM farid,J21,25,23,rencontre_D2F_1_2122_288.pdf,13,14,14,R,-1,1,1,1,1,F,1,1,D2,2122,38,45,-7,-0.440097536422304
RADNUWW,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J22,28,31,rencontre_D2F_1_2122_290.pdf,14,13,13,R,1,-1,0,1,1,F,1,1,D2,2122,41,47,-6,-0.470437536140385
RADNUWX,HAVRE ATHLETIC CLUB HB,PELLAN stephane,HB OCTEVILLE SUR MER,BOIVIN gautier,J22,33,23,rencontre_D2F_1_2122_291.pdf,15,13,13,R,1,1,1,0,1,F,1,1,D2,2122,45,32,13,1.01928132830417
RADNUWZ,RENNES METROPOLE HB,MANTES olivier,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J22,26,21,rencontre_D2F_1_2122_293.pdf,10,8,8,R,1,1,1,1,1,F,1,1,D2,2122,35,42,-7,-0.548843792163783
RADNUXB,NOISY LE GRAND HANDBALL,GHERRAM farid,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J22,29,24,rencontre_D2F_1_2122_295.pdf,13,15,15,R,-1,1,1,0,1,F,1,1,D2,2122,46,31,15,1.17609384035096
RADNUXD,STELLA SAINT-MAUR HANDBALL,SAMSON remi,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J23,25,27,rencontre_D2F_1_2122_297.pdf,11,12,12,R,-1,-1,0,1,1,F,1,1,D2,2122,58,48,10,1.17525123680567
RADNUXE,ACHENHEIM TRUCHTERSHEIM,BASNY jan,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J23,22,20,rencontre_D2F_1_2122_298.pdf,11,10,10,R,1,1,1,1,0,F,1,1,D2,2122,43,42,1,0.117525123680567
RADNUXH,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,NOISY LE GRAND HANDBALL,GHERRAM farid,J23,30,25,rencontre_D2F_1_2122_301.pdf,15,14,14,R,1,1,1,1,1,F,1,1,D2,2122,43,49,-6,-0.705150742083403
RADNUXJ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J24,25,26,rencontre_D2F_1_2122_303.pdf,12,11,11,R,1,-1,0,1,1,F,1,1,D2,2122,51,62,-11,-0.562099789981034
RADNUXK,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,ACHENHEIM TRUCHTERSHEIM,BASNY jan,J24,29,30,rencontre_D2F_1_2122_304.pdf,16,16,16,R,0,-1,0,1,0,F,1,1,D2,2122,52,46,6,0.436256553418116
RADNUXL,RENNES METROPOLE HB,MANTES olivier,STELLA SAINT-MAUR HANDBALL,SAMSON remi,J24,22,26,rencontre_D2F_1_2122_305.pdf,11,11,11,R,0,-1,0,1,1,F,1,1,D2,2122,41,59,-18,-0.973187696086566
RADNUXM,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J24,29,24,rencontre_D2F_1_2122_306.pdf,14,11,11,R,1,1,1,1,1,F,1,1,D2,2122,43,45,-2,-0.0335581964167781
RADNUXN,NOISY LE GRAND HANDBALL,GHERRAM farid,HB OCTEVILLE SUR MER,BOIVIN gautier,J24,27,26,rencontre_D2F_1_2122_307.pdf,15,12,12,R,1,1,1,1,1,F,1,1,D2,2122,50,34,16,1.02352499071173
RADNUXP,AS CANNES-MANDELIEU HANDBALL,PETRESKI tome,HANDBALL CLERMONT AUVERGNE METROPOLE,SAUVAL florence,J24,26,32,rencontre_D2F_1_2122_309.pdf,13,14,14,R,-1,-1,0,1,1,F,1,1,D2,2122,23,46,-23,-1.26682191473338
RADNUXU,ROCHECHOUART-ST-JUNIEN HANDBALL 87,PAQUIER nicolas,CLUB ATHLETIQUE BEGLAIS,VASSEUR julien,J25,27,29,rencontre_D2F_1_2122_314.pdf,16,13,13,R,1,-1,0,1,1,F,1,1,D2,2122,NA,46,NA,NA
RADNUXX,RENNES METROPOLE HB,MANTES olivier,ST AMAND HANDBALL - PORTE DU HAINAUT,CARRACEDO felix,J26,35,43,rencontre_D2F_1_2122_317.pdf,18,20,20,R,-1,-1,0,1,0,F,1,1,D2,2122,44,71,-27,-0.990205422645143
RADNUXZ,NOISY LE GRAND HANDBALL,GHERRAM farid,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J26,24,25,rencontre_D2F_1_2122_319.pdf,10,10,10,R,0,-1,0,1,1,F,1,1,D2,2122,55,58,-3,-0.0173720249586867
RADNUYA,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J26,36,24,rencontre_D2F_1_2122_320.pdf,15,12,12,R,1,1,1,1,1,F,1,1,D2,2122,59,38,21,0.955461372727769
RADNYBO,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,LIMOGES HAND,HAYATOUNE tarik,J1,31,29,rencontre_D1H_2122_439.pdf,14,12,12,R,1,1,1,1,1,H,1,1,D1,2122,0,NA,NA,NA
RADNYBP,CESSON RENNES METROPOLE HB,LERICHE sebastien,HBC NANTES,RODRIGUEZ alberto,J1,29,27,rencontre_D1H_2122_440.pdf,13,14,14,R,-1,1,1,0,0,H,1,0,D1,2122,0,0,0,0
RADNYBQ,C'CHARTRES METROPOLE HANDBALL,SALAET toni,GRAND NANCY METROPOLE HB,BRAUX benjamin,J1,28,27,rencontre_D1H_2122_441.pdf,13,14,14,R,-1,1,1,1,1,H,0,1,D1,2122,0,NA,NA,NA
RADNYBR,US CRETEIL HANDBALL,DELGADO fernando,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J1,34,29,rencontre_D1H_2122_442.pdf,17,14,14,R,1,1,1,1,1,H,1,1,D1,2122,0,0,0,0
RADNYBS,MONTPELLIER HANDBALL,CANAYER patrice,SAINT RAPHAEL VHB,FORTUNEANU dan,J1,29,29,rencontre_D1H_2122_443.pdf,13,14,14,R,-1,0,1,1,1,H,1,1,D1,2122,0,NA,NA,NA
RADNYBT,USAM NIMES GARD,BALMOSSIERE yann,SARAN LOIRET HB,COURTIAL fabien,J1,31,26,rencontre_D1H_2122_444.pdf,14,13,13,R,1,1,1,1,1,H,0,1,D1,2122,0,NA,NA,NA
RADNYBV,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,CHAMBERY SAVOIE HB,MATHE erick,J1,27,30,rencontre_D1H_2122_446.pdf,12,11,11,R,1,-1,0,1,1,H,1,1,D1,2122,0,0,0,0
RADNYCC,SAINT RAPHAEL VHB,FORTUNEANU dan,CESSON RENNES METROPOLE HB,LERICHE sebastien,J2,28,21,rencontre_D1H_2122_453.pdf,13,10,10,R,1,1,1,1,1,H,1,1,D1,2122,NA,3,NA,NA
RADNYCD,SARAN LOIRET HB,COURTIAL fabien,US CRETEIL HANDBALL,DELGADO fernando,J2,25,28,rencontre_D1H_2122_454.pdf,13,12,12,R,1,-1,0,1,1,H,1,1,D1,2122,NA,3,NA,NA
RADNYCE,CESSON RENNES METROPOLE HB,LERICHE sebastien,SARAN LOIRET HB,COURTIAL fabien,J3,31,23,rencontre_D1H_2122_455.pdf,14,12,12,R,1,1,1,1,1,H,1,1,D1,2122,4,NA,NA,NA
RADNYCF,CHAMBERY SAVOIE HB,MATHE erick,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J3,30,26,rencontre_D1H_2122_456.pdf,15,13,13,R,1,1,1,0,1,H,0,0,D1,2122,4,6,-2,-0.78334945180064
RADNYCG,US CRETEIL HANDBALL,DELGADO fernando,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J3,32,36,rencontre_D1H_2122_457.pdf,16,16,16,R,0,-1,0,1,1,H,1,1,D1,2122,6,6,0,0
RADNYCK,SAINT RAPHAEL VHB,FORTUNEANU dan,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J3,29,26,rencontre_D1H_2122_461.pdf,17,14,14,R,1,1,1,1,1,H,1,1,D1,2122,NA,2,NA,NA
RADNYCL,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,GRAND NANCY METROPOLE HB,BRAUX benjamin,J3,22,24,rencontre_D1H_2122_462.pdf,10,12,12,R,-1,-1,0,1,1,H,0,1,D1,2122,2,NA,NA,NA
RADNYCM,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,HBC NANTES,RODRIGUEZ alberto,J4,27,27,rencontre_D1H_2122_463.pdf,12,11,11,R,1,0,0,1,1,H,1,1,D1,2122,7,7,0,0
RADNYCP,LIMOGES HAND,HAYATOUNE tarik,ISTRES PROVENCE HANDBALL,DEROT gilles,J4,34,37,rencontre_D1H_2122_466.pdf,15,18,18,R,-1,-1,0,1,1,H,1,1,D1,2122,NA,4,NA,NA
RADNYCR,GRAND NANCY METROPOLE HB,BRAUX benjamin,SAINT RAPHAEL VHB,FORTUNEANU dan,J4,27,32,rencontre_D1H_2122_468.pdf,13,14,14,R,-1,-1,0,1,1,H,1,1,D1,2122,NA,NA,NA,NA
RADNYCT,SARAN LOIRET HB,COURTIAL fabien,CHAMBERY SAVOIE HB,MATHE erick,J4,24,28,rencontre_D1H_2122_470.pdf,9,12,12,R,-1,-1,0,1,1,H,1,1,D1,2122,NA,7,NA,NA
RADNYCU,CESSON RENNES METROPOLE HB,LERICHE sebastien,MONTPELLIER HANDBALL,CANAYER patrice,J5,25,21,rencontre_D1H_2122_471.pdf,12,10,10,R,1,1,1,1,1,H,1,0,D1,2122,8,9,-1,-0.289345693302247
RADNYCW,US CRETEIL HANDBALL,DELGADO fernando,GRAND NANCY METROPOLE HB,BRAUX benjamin,J5,39,32,rencontre_D1H_2122_473.pdf,16,15,15,R,1,1,1,1,1,H,1,1,D1,2122,8,NA,NA,NA
RADNYCX,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J5,26,23,rencontre_D1H_2122_474.pdf,13,11,11,R,1,1,1,1,1,H,1,1,D1,2122,4,6,-2,-0.771588515472659
RADNYCZ,HBC NANTES,RODRIGUEZ alberto,LIMOGES HAND,HAYATOUNE tarik,J5,27,29,rencontre_D1H_2122_476.pdf,12,14,14,R,-1,-1,0,1,1,H,1,1,D1,2122,9,NA,NA,NA
RADNYDA,USAM NIMES GARD,MAURICE franck,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J5,25,32,rencontre_D1H_2122_477.pdf,13,15,15,R,-1,-1,0,1,1,H,0,1,D1,2122,12,12,0,0
RADNYDB,SAINT RAPHAEL VHB,FORTUNEANU dan,SARAN LOIRET HB,COURTIAL fabien,J5,25,28,rencontre_D1H_2122_478.pdf,10,12,12,R,-1,-1,0,1,1,H,1,1,D1,2122,NA,NA,NA,NA
RADNYDC,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,USAM NIMES GARD,MAURICE franck,J6,28,27,rencontre_D1H_2122_479.pdf,14,15,15,R,-1,1,1,1,1,H,1,1,D1,2122,12,13,-1,-0.471939903724269
RADNYDE,LIMOGES HAND,HAYATOUNE tarik,SAINT RAPHAEL VHB,FORTUNEANU dan,J6,25,25,rencontre_D1H_2122_481.pdf,12,14,14,R,-1,0,1,1,1,H,0,1,D1,2122,NA,NA,NA,NA
RADNYDG,GRAND NANCY METROPOLE HB,BRAUX benjamin,CESSON RENNES METROPOLE HB,LERICHE sebastien,J6,27,25,rencontre_D1H_2122_483.pdf,12,15,15,R,-1,1,1,1,1,H,1,1,D1,2122,NA,11,NA,NA
RADNYDH,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,CHAMBERY SAVOIE HB,MATHE erick,J6,36,29,rencontre_D1H_2122_484.pdf,18,16,16,R,1,1,1,0,1,H,1,1,D1,2122,15,11,4,1.21355975243384
RADNYDJ,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,HBC NANTES,RODRIGUEZ alberto,J6,29,33,rencontre_D1H_2122_486.pdf,14,17,17,R,-1,-1,0,1,1,H,1,0,D1,2122,7,10,-3,-1.14613976618751
RADNYDN,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,SARAN LOIRET HB,COURTIAL fabien,J7,25,24,rencontre_D1H_2122_490.pdf,13,10,10,R,1,1,1,1,1,H,1,1,D1,2122,8,NA,NA,NA
RADNYDO,MONTPELLIER HANDBALL,CANAYER patrice,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J7,33,34,rencontre_D1H_2122_491.pdf,16,18,18,R,-1,-1,0,1,1,H,1,1,D1,2122,13,18,-5,-1.02469507659596
RADNYDQ,USAM NIMES GARD,MAURICE franck,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J7,25,26,rencontre_D1H_2122_493.pdf,13,13,13,R,0,-1,0,1,1,H,1,1,D1,2122,14,8,6,1.12228508389081
RADNYDR,SAINT RAPHAEL VHB,FORTUNEANU dan,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J7,32,28,rencontre_D1H_2122_494.pdf,17,14,14,R,1,1,1,1,1,H,1,1,D1,2122,NA,13,NA,NA
RADNYDT,CHAMBERY SAVOIE HB,MATHE erick,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J8,30,27,rencontre_D1H_2122_496.pdf,15,12,12,R,1,1,1,1,1,H,0,1,D1,2122,15,11,4,1.42009389360939
RADNYDU,C'CHARTRES METROPOLE HANDBALL,SALAET toni,LIMOGES HAND,HAYATOUNE tarik,J8,27,25,rencontre_D1H_2122_497.pdf,11,11,11,R,0,1,1,1,1,H,1,1,D1,2122,14,NA,NA,NA
RADNYDV,US CRETEIL HANDBALL,DELGADO fernando,CESSON RENNES METROPOLE HB,LERICHE sebastien,J8,25,31,rencontre_D1H_2122_498.pdf,11,14,14,R,-1,-1,0,1,1,H,1,1,D1,2122,13,15,-2,-0.129099444873581
RADNYDW,ISTRES PROVENCE HANDBALL,DEROT gilles,USAM NIMES GARD,MAURICE franck,J8,29,29,rencontre_D1H_2122_499.pdf,14,13,13,R,1,0,0,1,1,H,1,1,D1,2122,10,15,-5,-0.903696114115064
RADNYDX,GRAND NANCY METROPOLE HB,BRAUX benjamin,MONTPELLIER HANDBALL,CANAYER patrice,J8,30,33,rencontre_D1H_2122_500.pdf,12,12,12,R,0,-1,0,1,1,H,1,1,D1,2122,NA,14,NA,NA
RADNYDZ,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,SAINT RAPHAEL VHB,FORTUNEANU dan,J8,29,28,rencontre_D1H_2122_502.pdf,14,14,14,R,0,1,1,1,1,H,1,1,D1,2122,11,NA,NA,NA
RADNYEB,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,GRAND NANCY METROPOLE HB,BRAUX benjamin,J9,24,23,rencontre_D1H_2122_504.pdf,13,13,13,R,0,1,1,1,1,H,1,1,D1,2122,12,NA,NA,NA
RADNYED,MONTPELLIER HANDBALL,CANAYER patrice,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J9,27,28,rencontre_D1H_2122_506.pdf,10,13,13,R,-1,-1,0,1,1,H,1,1,D1,2122,17,19,-2,-1.16247638743819
RADNYEH,SAINT RAPHAEL VHB,FORTUNEANU dan,US CRETEIL HANDBALL,DELGADO fernando,J9,33,31,rencontre_D1H_2122_510.pdf,14,14,14,R,0,1,1,1,1,H,1,1,D1,2122,NA,14,NA,NA
RADNYEJ,CHAMBERY SAVOIE HB,MATHE erick,MONTPELLIER HANDBALL,CANAYER patrice,J10,27,23,rencontre_D1H_2122_512.pdf,10,12,12,R,-1,1,1,0,1,H,1,1,D1,2122,19,18,1,0.852573586519139
RADNYEK,C'CHARTRES METROPOLE HANDBALL,SALAET toni,HBC NANTES,RODRIGUEZ alberto,J10,27,33,rencontre_D1H_2122_513.pdf,14,16,16,R,-1,-1,0,1,1,H,1,1,D1,2122,18,22,-4,-0.786991002940743
RADNYEL,US CRETEIL HANDBALL,DELGADO fernando,USAM NIMES GARD,MAURICE franck,J10,36,36,rencontre_D1H_2122_514.pdf,19,16,16,R,1,0,0,1,1,H,1,1,D1,2122,15,20,-5,-1.11490392083272
RADNYEM,ISTRES PROVENCE HANDBALL,DEROT gilles,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J10,22,30,rencontre_D1H_2122_515.pdf,11,12,12,R,-1,-1,0,1,1,H,1,1,D1,2122,13,15,-2,-0.131165167156791
RADNYEN,GRAND NANCY METROPOLE HB,BRAUX benjamin,SARAN LOIRET HB,COURTIAL fabien,J10,27,29,rencontre_D1H_2122_516.pdf,12,12,12,R,0,-1,0,1,1,H,1,1,D1,2122,NA,NA,NA,NA
RADNYEP,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,LIMOGES HAND,STEFANOVIC rastko,J10,27,27,rencontre_D1H_2122_518.pdf,14,15,15,R,-1,0,1,1,1,H,0,1,D1,2122,16,NA,NA,NA
RADNYEQ,CESSON RENNES METROPOLE HB,LERICHE sebastien,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J11,25,24,rencontre_D1H_2122_519.pdf,10,13,13,R,-1,1,1,1,1,H,1,1,D1,2122,21,19,2,-0.0605227532668803
RADNYET,MONTPELLIER HANDBALL,CANAYER patrice,USAM NIMES GARD,MAURICE franck,J11,32,29,rencontre_D1H_2122_522.pdf,16,14,14,R,1,1,1,1,1,H,1,1,D1,2122,19,22,-3,-0.968364052270084
RADNYEU,GRAND NANCY METROPOLE HB,BRAUX benjamin,ISTRES PROVENCE HANDBALL,DEROT gilles,J11,23,27,rencontre_D1H_2122_523.pdf,10,12,12,R,-1,-1,0,1,1,H,1,1,D1,2122,NA,14,NA,NA
RADNYEV,HBC NANTES,RODRIGUEZ alberto,US CRETEIL HANDBALL,DELGADO fernando,J11,30,26,rencontre_D1H_2122_524.pdf,13,10,10,R,1,1,1,1,1,H,1,1,D1,2122,25,17,8,1.02888680553696
RADNYEW,SAINT RAPHAEL VHB,FORTUNEANU dan,CHAMBERY SAVOIE HB,MATHE erick,J11,30,29,rencontre_D1H_2122_525.pdf,13,15,15,R,-1,1,1,1,1,H,1,1,D1,2122,NA,22,NA,NA
RADNYEX,SARAN LOIRET HB,COURTIAL fabien,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J11,30,32,rencontre_D1H_2122_526.pdf,14,16,16,R,-1,-1,0,1,1,H,1,1,D1,2122,NA,18,NA,NA
RADNYEZ,CHAMBERY SAVOIE HB,MATHE erick,CESSON RENNES METROPOLE HB,LERICHE sebastien,J12,31,27,rencontre_D1H_2122_528.pdf,11,10,10,R,1,1,1,0,1,H,1,1,D1,2122,23,24,-1,0.198679853559757
RADNYFA,C'CHARTRES METROPOLE HANDBALL,SALAET toni,DUNKERQUE HANDBALL GRAND LITTORAL,CALBRY arnaud,J12,27,26,rencontre_D1H_2122_529.pdf,12,12,12,R,0,1,1,1,1,H,1,1,D1,2122,20,19,1,0.993399267798783
RADNYFB,US CRETEIL HANDBALL,DELGADO fernando,LIMOGES HAND,STEFANOVIC rastko,J12,32,31,rencontre_D1H_2122_530.pdf,18,16,16,R,1,1,1,0,1,H,1,0,D1,2122,18,NA,NA,NA
RADNYFD,USAM NIMES GARD,MAURICE franck,HBC NANTES,RODRIGUEZ alberto,J12,26,34,rencontre_D1H_2122_532.pdf,13,14,14,R,-1,-1,0,1,1,H,1,1,D1,2122,23,28,-5,-1.3907589749183
RADNYFF,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,MONTPELLIER HANDBALL,CANAYER patrice,J12,32,26,rencontre_D1H_2122_534.pdf,14,11,11,R,1,1,1,1,1,H,1,1,D1,2122,21,22,-1,0.198679853559757
RADNYFI,MONTPELLIER HANDBALL,CANAYER patrice,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J13,32,21,rencontre_D1H_2122_537.pdf,11,11,11,R,0,1,1,1,1,H,1,1,D1,2122,23,23,0,0
