code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_min,score_visiteur_min,equipe,statut_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison,points_recevant,points_visiteur,diff_point,diff_point_norm
PADEKRQ,SAMBRE AVESNOIS HANDBALL,PETIT clement,NOISY LE GRAND HANDBALL,GHERRAM farid,J12,25,24,rencontre_D2F_1_2021_750.pdf,25,23,R,1,1,1,0,0,F,1,0,D2,2021,23,19,4,0.033259505261887
PADEKRR,HB OCTEVILLE SUR MER,BOIVIN gautier,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,J12,22,25,rencontre_D2F_1_2021_751.pdf,21,24,R,-1,-1,0,0,0,F,0,0,D2,2021,21,28,-7,-1.43015872626114
PADEKRS,HAVRE ATHLETIC CLUB HB,PELLAN stephane,SAINT GREGOIRE RENNES METROPOLE HB,MANTES olivier,J12,27,28,rencontre_D2F_1_2021_752.pdf,26,28,R,-1,-1,0,1,0,F,0,0,D2,2021,27,19,8,0.565411589452078
PADEKRW,STELLA SPORTS SAINT MAUR HANDBALL,SAMSON remi,HAVRE ATHLETIC CLUB HB,PELLAN stephane,J13,25,26,rencontre_D2F_1_2021_756.pdf,24,26,R,-1,-1,0,0,0,F,0,0,D2,2021,31,28,3,0.354803978957078
PADEKRZ,HAVRE ATHLETIC CLUB HB,PELLAN stephane,ACHENHEIM TRUCHTERSHEIM,DURAFFOURG aurelien,J14,30,29,rencontre_D2F_1_2021_759.pdf,28,29,R,-1,1,1,1,0,F,0,0,D2,2021,31,28,3,0.255086165181277
PADEKSC,AS CANNES-MANDELIEU HANDBALL,POPOVIC jelena,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,J1,26,29,rencontre_D2F_2_2021_762.pdf,25,28,R,-1,-1,0,0,0,F,0,0,D2,2021,0,0,0,0
PADEKSD,HANDBALL CLERMONT AUVERGNE METROPOLE,KABOUSS jamal,LE POUZIN HB,CHAGNARD christophe,J1,31,29,rencontre_D2F_2_2021_763.pdf,30,28,R,1,1,1,0,0,F,0,0,D2,2021,0,0,0,0
PADEKTD,ASUL VAULX EN VELIN,SEUTCHIE ludovic,ROCHECHOUART-ST-JUNIEN HANDBALL,PAQUIER nicolas,J8,27,25,rencontre_D2F_2_2021_789.pdf,26,24,R,1,1,1,1,0,F,0,0,D2,2021,15,13,2,0.239295117575675
PADEKTJ,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,J9,26,26,rencontre_D2F_2_2021_795.pdf,26,25,R,1,0,0,1,1,F,0,0,D2,2021,18,16,2,0.562696751954747
PADEKTL,LE POUZIN HB,BOYRON mathieu,ASUL VAULX EN VELIN,SEUTCHIE ludovic,J10,28,29,rencontre_D2F_2_2021_797.pdf,28,29,R,-1,-1,0,0,1,F,0,0,D2,2021,9,19,-10,-1.71179220647237
PADEKTP,ASUL VAULX EN VELIN,SEUTCHIE ludovic,BOUILLARGUES HANDBALL NIMES METROPOLE,CENDRE delphine,J11,23,25,rencontre_D2F_2_2021_801.pdf,22,25,R,-1,-1,0,0,0,F,0,0,D2,2021,22,23,-1,0.397573283972945
PADEKTV,CLUB ATHLETIQUE BEGLAIS,LUBETH jean,LE POUZIN HB,ALVAREZ lucas,J12,24,25,rencontre_D2F_2_2021_807.pdf,24,25,R,-1,-1,0,0,0,F,0,0,D2,2021,24,11,13,1.23060169468982
PADEKTX,ASUL VAULX EN VELIN,SEUTCHIE ludovic,HANDBALL CLERMONT AUVERGNE METROPOLE,KABOUSS jamal,J13,32,29,rencontre_D2F_2_2021_809.pdf,32,29,R,1,1,1,0,1,F,1,0,D2,2021,24,23,1,0.0236535985971385
PADFCSB,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,JDA DIJON HANDBALL,MAZEL christophe,J1,27,27,rencontre_D1F_2021_7919.pdf,27,26,R,1,0,0,0,0,F,0,0,D1,2021,0,0,0,0
PADFCSC,HANDBALL PLAN DE CUQUES,SPINCER angelique,NANTES ATLANTIQUE HANDBALL,SAURINA guillaume,J1,27,30,rencontre_D1F_2021_7920.pdf,26,29,R,-1,-1,0,0,0,F,0,0,D1,2021,0,0,0,0
PADFCSJ,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,JDA DIJON HANDBALL,MAZEL christophe,J2,25,24,rencontre_D1F_2021_7927.pdf,24,24,R,0,1,1,0,0,F,0,1,D1,2021,1,2,-1,-0.816496580927726
PADFCSO,HANDBALL PLAN DE CUQUES,SPINCER angelique,FLEURY LOIRET HANDBALL,CASSAN christophe,J3,24,22,rencontre_D1F_2021_7932.pdf,23,21,R,1,1,1,0,0,F,0,0,D1,2021,2,6,-4,-1.42009389360939
PADFCTB,MERIGNAC HANDBALL,CHAGNARD christophe,OGC NICE COTE D'AZUR HANDBALL,KOLEV marjan,J5,24,21,rencontre_D1F_2021_7945.pdf,23,20,R,1,1,1,0,0,F,0,0,D1,2021,4,6,-2,-0.67806350362081
PADFCTR,MERIGNAC HANDBALL,CHAGNARD christophe,ES BESANCON FEMININ,TERVEL raphaelle,J7,24,29,rencontre_D1F_2021_7961.pdf,24,27,R,-1,-1,0,0,0,F,0,0,D1,2021,8,14,-6,-1.43086593591613
PADFCUH,MERIGNAC HANDBALL,CHAGNARD christophe,HBC ST AMAND LES EAUX PORTE DU HAINAUT,SAUVAL florence,J9,26,26,rencontre_D1F_2021_7977.pdf,24,25,R,-1,0,1,0,1,F,0,0,D1,2021,10,NA,NA,NA
PADFCUI,JDA DIJON HANDBALL,MAZEL christophe,PARIS,MESSAOUDI yacine,J10,21,21,rencontre_D1F_2021_7978.pdf,21,20,R,1,0,0,0,0,F,0,0,D1,2021,10,21,-11,-1.62221421130763
PADFCUV,CHAMBRAY TOURAINE HANDBALL,DELARUE jerome,TOULON,PUIGSEGUR laurent,J11,27,26,rencontre_D1F_2021_7991.pdf,27,26,R,1,1,1,1,1,F,0,0,D1,2021,21,18,3,-0.0203666410182929
PADFCVD,FLEURY LOIRET HANDBALL,CASSAN christophe,PARIS,MESSAOUDI yacine,J13,23,25,rencontre_D1F_2021_7999.pdf,23,25,R,-1,-1,0,0,0,F,1,0,D1,2021,20,27,-7,-0.596745423496216
PADFCVG,MERIGNAC HANDBALL,CHAGNARD christophe,JDA DIJON HANDBALL,MAZEL christophe,J13,23,26,rencontre_D1F_2021_8002.pdf,23,25,R,-1,-1,0,0,0,F,0,0,D1,2021,17,15,2,0.522152245559189
PADFQRL,CESSON RENNES METROPOLE HB,LERICHE sebastien,SAINT RAPHAEL VHB,FORTUNEANU dan,J1,27,27,rencontre_D1H_2021_351.pdf,26,27,R,-1,0,1,0,1,H,0,1,D1,2021,0,NA,NA,NA
PADFQRO,ISTRES PROVENCE HANDBALL,DEROT gilles,TREMBLAY HANDBALL,SILVA joel,J1,29,24,rencontre_D1H_2021_354.pdf,27,24,R,1,1,1,0,0,H,0,1,D1,2021,0,0,0,0
PADFQRS,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J1,34,31,rencontre_D1H_2021_358.pdf,33,31,R,1,1,1,0,0,H,0,0,D1,2021,0,0,0,0
PADFQRV,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,ISTRES PROVENCE HANDBALL,DEROT gilles,J2,20,20,rencontre_D1H_2021_361.pdf,19,20,R,-1,0,1,0,1,H,1,0,D1,2021,1,3,-2,-0.877747259507158
PADFQRW,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,SAINT RAPHAEL VHB,FORTUNEANU dan,J2,34,34,rencontre_D1H_2021_362.pdf,33,34,R,-1,0,1,0,1,H,0,0,D1,2021,1,NA,NA,NA
PADFQRX,LIMOGES HAND,HAYATOUNE tarik,US CRETEIL HANDBALL,MONTORIER pierre,J2,29,28,rencontre_D1H_2021_363.pdf,27,27,R,0,1,1,0,1,H,0,0,D1,2021,NA,3,NA,NA
PADFQRZ,FENIX TOULOUSE HANDBALL,GARDENT philippe,USAM NIMES GARD,MAURICE franck,J2,28,29,rencontre_D1H_2021_365.pdf,28,28,R,0,-1,0,1,1,H,0,0,D1,2021,3,3,0,0
PADFQSA,TREMBLAY HANDBALL,SILVA joel,CHAMBERY SAVOIE HB,MATHE erick,J2,24,27,rencontre_D1H_2021_366.pdf,24,26,R,-1,-1,0,0,1,H,0,0,D1,2021,1,1,0,0
PADFQSB,CESSON RENNES METROPOLE HB,LERICHE sebastien,TREMBLAY HANDBALL,SILVA joel,J3,28,28,rencontre_D1H_2021_367.pdf,28,26,R,1,0,0,0,0,H,0,0,D1,2021,3,2,1,-0.153392997769474
PADFQSF,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J3,20,23,rencontre_D1H_2021_371.pdf,20,22,R,-1,-1,0,0,1,H,1,0,D1,2021,3,3,0,0
PADFQSG,HBC NANTES,RODRIGUEZ alberto,FENIX TOULOUSE HANDBALL,GARDENT philippe,J3,31,28,rencontre_D1H_2021_372.pdf,30,28,R,1,1,1,1,0,H,1,0,D1,2021,6,4,2,0.613571991077896
PADFQSH,USAM NIMES GARD,MAURICE franck,MONTPELLIER HANDBALL,CANAYER patrice,J3,24,25,rencontre_D1H_2021_373.pdf,23,25,R,-1,-1,0,0,0,H,0,1,D1,2021,6,6,0,0
PADFQSL,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,SAINT RAPHAEL VHB,FORTUNEANU dan,J4,24,25,rencontre_D1H_2021_377.pdf,24,25,R,-1,-1,0,0,1,H,0,0,D1,2021,6,NA,NA,NA
PADFQSM,LIMOGES HAND,HAYATOUNE tarik,ISTRES PROVENCE HANDBALL,DEROT gilles,J4,27,27,rencontre_D1H_2021_378.pdf,25,27,R,-1,0,1,0,0,H,0,0,D1,2021,NA,6,NA,NA
PADFQSN,MONTPELLIER HANDBALL,CANAYER patrice,HBC NANTES,RODRIGUEZ alberto,J4,27,27,rencontre_D1H_2021_379.pdf,26,27,R,-1,0,1,0,0,H,0,0,D1,2021,9,9,0,0
PADFQSR,CESSON RENNES METROPOLE HB,LERICHE sebastien,LIMOGES HAND,HAYATOUNE tarik,J5,26,30,rencontre_D1H_2021_383.pdf,26,28,R,-1,-1,0,0,0,H,0,0,D1,2021,8,NA,NA,NA
PADFQSX,SAINT RAPHAEL VHB,FORTUNEANU dan,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J5,33,34,rencontre_D1H_2021_389.pdf,31,33,R,-1,-1,0,0,0,H,0,1,D1,2021,NA,3,NA,NA
PADFQTA,C'CHARTRES METROPOLE HANDBALL,SALAET toni,FENIX TOULOUSE HANDBALL,GARDENT philippe,J6,25,27,rencontre_D1H_2021_392.pdf,25,26,R,-1,-1,0,0,1,H,0,0,D1,2021,6,7,-1,-0.0395408291925355
PADFQTD,LIMOGES HAND,HAYATOUNE tarik,HBC NANTES,RODRIGUEZ alberto,J6,32,31,rencontre_D1H_2021_395.pdf,31,30,R,1,1,1,0,0,H,0,0,D1,2021,NA,14,NA,NA
PADFQTV,USAM NIMES GARD,MAURICE franck,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J8,27,31,rencontre_D1H_2021_413.pdf,27,30,R,-1,-1,0,0,0,H,0,0,D1,2021,16,21,-5,-0.955236474666137
PADFQTY,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,LIMOGES HAND,HAYATOUNE tarik,J9,32,28,rencontre_D1H_2021_416.pdf,30,27,R,1,1,1,0,0,H,1,1,D1,2021,15,NA,NA,NA
PADFQUD,FENIX TOULOUSE HANDBALL,GARDENT philippe,US CRETEIL HANDBALL,MONTORIER pierre,J9,30,29,rencontre_D1H_2021_421.pdf,29,27,R,1,1,1,1,0,H,0,0,D1,2021,14,10,4,0.699378606180235
PADFQUZ,HBC NANTES,RODRIGUEZ alberto,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J12,24,26,rencontre_D1H_2021_443.pdf,23,25,R,-1,-1,0,0,0,H,0,0,D1,2021,27,33,-6,-0.202910313982364
PADFQVA,USAM NIMES GARD,MAURICE franck,SAINT RAPHAEL VHB,FORTUNEANU dan,J12,30,29,rencontre_D1H_2021_444.pdf,30,28,R,1,1,1,0,0,H,0,1,D1,2021,24,NA,NA,NA
PADFQVD,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,HBC NANTES,RODRIGUEZ alberto,J13,31,29,rencontre_D1H_2021_447.pdf,31,28,R,1,1,1,1,0,H,0,1,D1,2021,32,28,4,1.47709789175199
PADFQVF,C'CHARTRES METROPOLE HANDBALL,SALAET toni,LIMOGES HAND,HAYATOUNE tarik,J13,32,35,rencontre_D1H_2021_449.pdf,32,34,R,-1,-1,0,0,0,H,0,0,D1,2021,21,NA,NA,NA
PADFQVO,ISTRES PROVENCE HANDBALL,DEROT gilles,SAINT RAPHAEL VHB,FORTUNEANU dan,J14,30,32,rencontre_D1H_2021_458.pdf,30,31,R,-1,-1,0,0,0,H,0,0,D1,2021,20,NA,NA,NA
PADFQVT,CESSON RENNES METROPOLE HB,LERICHE sebastien,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J15,28,32,rencontre_D1H_2021_463.pdf,28,31,R,-1,-1,0,0,0,H,0,0,D1,2021,23,19,4,0.305995030681052
PADFQVW,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,TREMBLAY HANDBALL,SILVA joel,J15,25,24,rencontre_D1H_2021_466.pdf,24,24,R,0,1,1,0,1,H,0,1,D1,2021,22,17,5,0.397793539885368
PADFQVX,LIMOGES HAND,HAYATOUNE tarik,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J15,31,31,rencontre_D1H_2021_467.pdf,18,16,R,1,0,0,0,0,H,0,1,D1,2021,NA,38,NA,NA
PADFQWC,ISTRES PROVENCE HANDBALL,DEROT gilles,DUNKERQUE HANDBALL GRAND LITTORAL,CAZAL patrick,J16,29,28,rencontre_D1H_2021_472.pdf,29,27,R,1,1,1,0,0,H,0,0,D1,2021,22,25,-3,-0.521328884679165
PADFQWE,USAM NIMES GARD,MAURICE franck,CHAMBERY SAVOIE HB,MATHE erick,J16,28,32,rencontre_D1H_2021_474.pdf,27,30,R,-1,-1,0,0,0,H,0,0,D1,2021,36,27,9,0.294664152209963
PADFQWG,SAINT RAPHAEL VHB,FORTUNEANU dan,MONTPELLIER HANDBALL,CANAYER patrice,J16,29,30,rencontre_D1H_2021_476.pdf,29,29,R,0,-1,0,0,0,H,0,0,D1,2021,NA,41,NA,NA
PADFQWR,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J18,24,25,rencontre_D1H_2021_487.pdf,23,24,R,-1,-1,0,0,1,H,0,1,D1,2021,45,28,17,0.727977037429958
PADFQWW,SAINT RAPHAEL VHB,FORTUNEANU dan,CESSON RENNES METROPOLE HB,LERICHE sebastien,J18,27,25,rencontre_D1H_2021_492.pdf,27,24,R,1,1,1,0,0,H,0,0,D1,2021,NA,26,NA,NA
PADFQWX,FENIX TOULOUSE HANDBALL,GARDENT philippe,CHAMBERY SAVOIE HB,MATHE erick,J18,25,26,rencontre_D1H_2021_493.pdf,24,26,R,-1,-1,0,0,1,H,0,0,D1,2021,29,31,-2,-0.296583237471464
PADFQWY,TREMBLAY HANDBALL,SILVA joel,LIMOGES HAND,HAYATOUNE tarik,J18,30,29,rencontre_D1H_2021_494.pdf,30,29,R,1,1,1,0,0,H,1,0,D1,2021,22,NA,NA,NA
PADFQWZ,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,SAINT RAPHAEL VHB,FORTUNEANU dan,J19,26,28,rencontre_D1H_2021_495.pdf,26,27,R,-1,-1,0,0,0,H,0,0,D1,2021,46,NA,NA,NA
PADFQXB,C'CHARTRES METROPOLE HANDBALL,SALAET toni,ISTRES PROVENCE HANDBALL,DEROT gilles,J19,29,28,rencontre_D1H_2021_497.pdf,29,28,R,1,1,1,1,0,H,0,0,D1,2021,31,29,2,-0.29649972666444
PADFQXF,HBC NANTES,RODRIGUEZ alberto,USAM NIMES GARD,MAURICE franck,J19,31,27,rencontre_D1H_2021_501.pdf,29,26,R,1,1,1,0,0,H,1,0,D1,2021,41,42,-1,-0.518874521662771
PADFQXW,TREMBLAY HANDBALL,SILVA joel,CESSON RENNES METROPOLE HB,LERICHE sebastien,J21,26,27,rencontre_D1H_2021_518.pdf,25,26,R,-1,-1,0,0,0,H,0,0,D1,2021,27,27,0,0
PADFQXY,CHAMBERY SAVOIE HB,MATHE erick,US CRETEIL HANDBALL,ESPARRE christophe,J22,28,30,rencontre_D1H_2021_520.pdf,28,30,R,-1,-1,0,0,0,H,0,0,D1,2021,41,26,15,0.930765114050741
PADFQYC,USAM NIMES GARD,MAURICE franck,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J22,25,26,rencontre_D1H_2021_524.pdf,25,26,R,-1,-1,0,0,0,H,0,0,D1,2021,49,51,-2,0.00903655450534699
PADFQYE,FENIX TOULOUSE HANDBALL,GARDENT philippe,HBC NANTES,RODRIGUEZ alberto,J22,29,29,rencontre_D1H_2021_526.pdf,29,27,R,1,0,0,0,0,H,0,0,D1,2021,31,45,-14,-0.641595369879637
PADFQYG,C'CHARTRES METROPOLE HANDBALL,SALAET toni,CHAMBERY SAVOIE HB,MATHE erick,J23,21,22,rencontre_D1H_2021_528.pdf,21,22,R,-1,-1,0,0,1,H,0,0,D1,2021,37,42,-5,-0.955427888935096
PADFQYH,ISTRES PROVENCE HANDBALL,DEROT gilles,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,J23,30,28,rencontre_D1H_2021_529.pdf,30,27,R,1,1,1,1,0,H,0,0,D1,2021,35,34,1,-0.426267827371043
PADFQYI,LIMOGES HAND,HAYATOUNE tarik,CESSON RENNES METROPOLE HB,LERICHE sebastien,J23,26,27,rencontre_D1H_2021_530.pdf,26,27,R,-1,-1,0,0,1,H,0,0,D1,2021,NA,33,NA,NA
PADFQYK,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,MONTPELLIER HANDBALL,CANAYER patrice,J23,31,28,rencontre_D1H_2021_532.pdf,31,28,R,1,1,1,0,0,H,1,1,D1,2021,65,59,6,0.0146988905990015
PADFQYL,SAINT RAPHAEL VHB,FORTUNEANU dan,USAM NIMES GARD,MAURICE franck,J23,30,34,rencontre_D1H_2021_533.pdf,29,32,R,-1,-1,0,0,0,H,0,0,D1,2021,NA,50,NA,NA
PADFQYS,USAM NIMES GARD,MAURICE franck,CESSON RENNES METROPOLE HB,LERICHE sebastien,J24,29,27,rencontre_D1H_2021_540.pdf,28,26,R,1,1,1,0,0,H,0,0,D1,2021,53,36,17,0.493048921401881
PADFQYT,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,HBC NANTES,RODRIGUEZ alberto,J24,24,25,rencontre_D1H_2021_541.pdf,23,25,R,-1,-1,0,1,0,H,0,0,D1,2021,68,50,18,0.547832134890979
PADFQZL,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J27,28,29,rencontre_D1H_2021_559.pdf,28,29,R,-1,-1,0,1,1,H,0,0,D1,2021,62,72,-10,-1.24232805467549
PADFQZO,MONTPELLIER HANDBALL,CANAYER patrice,USAM NIMES GARD,MAURICE franck,J27,29,29,rencontre_D1H_2021_562.pdf,27,28,R,-1,0,1,0,1,H,1,1,D1,2021,68,60,8,1.33789175118899
PADFQZS,TREMBLAY HANDBALL,SILVA joel,ISTRES PROVENCE HANDBALL,DEROT gilles,J27,26,27,rencontre_D1H_2021_566.pdf,26,26,R,0,-1,0,0,1,H,0,0,D1,2021,32,41,-9,-1.09898250990524
PADFQZT,CHAMBERY SAVOIE HB,MATHE erick,CESSON RENNES METROPOLE HB,LERICHE sebastien,J28,28,28,rencontre_D1H_2021_567.pdf,28,27,R,1,0,0,1,1,H,0,0,D1,2021,53,42,11,0.436311137950388
PADFQZY,MONTPELLIER HANDBALL,CANAYER patrice,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J28,28,27,rencontre_D1H_2021_572.pdf,28,26,R,1,1,1,1,0,H,0,0,D1,2021,70,63,7,0.174524455180155
PADFRAB,PROVENCE AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,LIMOGES HAND,HAYATOUNE tarik,J29,29,27,rencontre_D1H_2021_575.pdf,28,27,R,1,1,1,1,0,H,0,0,D1,2021,64,NA,NA,NA
PADFRAE,UNION SPORTIVE IVRY HANDBALL,QUINTALLET sebastien,CHAMBERY SAVOIE HB,MATHE erick,J29,27,26,rencontre_D1H_2021_578.pdf,27,25,R,1,1,1,0,0,H,0,0,D1,2021,42,55,-13,0.00831085516533787
PADFRAM,ISTRES PROVENCE HANDBALL,DEROT gilles,LIMOGES HAND,HAYATOUNE tarik,J30,30,30,rencontre_D1H_2021_586.pdf,28,29,R,-1,0,1,0,0,H,0,0,D1,2021,48,NA,NA,NA
PADFTXJ,ANGERS SCO HANDBALL,DUPIN guillaume,VALENCE HANDBALL,FORETS eric,J1,32,34,rencontre_D2H_2021_533.pdf,30,33,R,-1,-1,0,0,0,H,0,1,D2,2021,0,0,0,0
PADFTXK,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,GRAND BESANCON DOUBS HANDBALL,ZOVKO dragan,J1,26,27,rencontre_D2H_2021_534.pdf,25,26,R,-1,-1,0,0,0,H,0,0,D2,2021,0,0,0,0
PADFTXL,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,CAVIGAL NICE HANDBALL,MARCOS asier,J1,30,29,rencontre_D2H_2021_535.pdf,30,28,R,1,1,1,0,0,H,1,0,D2,2021,NA,0,NA,NA
PADFTXM,DIJON METROPOLE HB,CHADUTEAUD ulrich,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,J1,25,26,rencontre_D2H_2021_536.pdf,24,26,R,-1,-1,0,0,1,H,0,0,D2,2021,NA,0,NA,NA
PADFTXN,MASSY ESSONNE HANDBALL,ROUSSEL jeremy,GRAND NANCY METROPOLE HB,BRAUX benjamin,J1,24,27,rencontre_D2H_2021_537.pdf,24,27,R,-1,-1,0,0,0,H,0,0,D2,2021,0,NA,NA,NA
PADFTXS,CAVIGAL NICE HANDBALL,MARCOS asier,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,J2,30,30,rencontre_D2H_2021_542.pdf,29,28,R,1,0,0,1,1,H,0,1,D2,2021,1,NA,NA,NA
PADFTXV,SELESTAT ALSACE HANDBALL,VIENNET christophe,MASSY ESSONNE HANDBALL,ROUSSEL jeremy,J2,30,25,rencontre_D2H_2021_545.pdf,28,25,R,1,1,1,0,0,H,0,0,D2,2021,3,1,2,NA
PADFTXX,ANGERS SCO HANDBALL,DUPIN guillaume,SARAN LOIRET HB,COURTIAL fabien,J3,34,33,rencontre_D2H_2021_547.pdf,32,30,R,1,1,1,1,0,H,1,0,D2,2021,2,NA,NA,NA
PADFTYC,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,SELESTAT ALSACE HANDBALL,VIENNET christophe,J3,26,28,rencontre_D2H_2021_552.pdf,25,27,R,-1,-1,0,0,0,H,1,1,D2,2021,2,6,-4,-0.577350269189626
PADFTYD,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,GRAND NANCY METROPOLE HB,BRAUX benjamin,J3,27,31,rencontre_D2H_2021_553.pdf,26,29,R,-1,-1,0,0,0,H,0,0,D2,2021,NA,NA,NA,NA
PADFTYI,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,J4,24,23,rencontre_D2H_2021_558.pdf,22,22,R,0,1,1,0,1,H,0,0,D2,2021,3,NA,NA,NA
PADFTYK,VALENCE HANDBALL,FORETS eric,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,J4,30,31,rencontre_D2H_2021_560.pdf,30,30,R,0,-1,0,1,0,H,1,0,D2,2021,5,7,-2,-0.872871560943969
