"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAEDKLE","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine","PALENTE BESANCON HANDBALL","SECK cheikh",28,27,"rencontre_D2F_1_2223_400.pdf","J8",27,27,"R",0,1,1,0,0,"F",0,0,"D2","2223","bouillargues handball nimes metropole","palente besancon handball",45,36,-9
"SAEDKLG","LOMME LILLE METROPOLE HB","WORM laurent","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",29,28,"rencontre_D2F_1_2223_402.pdf","J8",13,16,"R",-1,1,1,0,0,"F",0,1,"D2","2223","lomme lille metropole hb","saint gregoire rennes metropole hb",41,38,-3
"SAEDKLH","NOISY LE GRAND HANDBALL","GHERRAM farid","HAVRE ATHLETIC CLUB HB","PELLAN stephane",20,21,"rencontre_D2F_1_2223_403.pdf","J8",20,21,"R",-1,-1,0,0,1,"F",0,0,"D2","2223","noisy le grand handball","havre athletic club hb",55,45,-10
"SAEDKLU","LOMME LILLE METROPOLE HB","WORM laurent","TOULOUSE FEMININ HANDBALL","VEDEL fabien",31,29,"rencontre_D2F_1_2223_416.pdf","J10",31,28,"R",1,1,1,1,0,"F",1,0,"D2","2223","lomme lille metropole hb","toulouse feminin handball",41,44,3
"SAEDKMA","HAVRE ATHLETIC CLUB HB","PELLAN stephane","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",29,28,"rencontre_D2F_1_2223_422.pdf","J11",28,27,"R",1,1,1,1,0,"F",0,0,"D2","2223","havre athletic club hb","bouillargues handball nimes metropole",45,45,0
"SAEDKMJ","PALENTE BESANCON HANDBALL","SECK cheikh","ASUL VAULX EN VELIN","MODENEL sebastien",24,26,"rencontre_D2F_1_2223_431.pdf","J12",24,24,"R",0,-1,0,1,0,"F",0,0,"D2","2223","palente besancon handball","asul vaulx en velin",36,38,2
"SAEDKML","SAMBRE AVESNOIS HANDBALL","PETIT clement","SAINT GREGOIRE RENNES METROPOLE HB","MANTES olivier",27,31,"rencontre_D2F_1_2223_433.pdf","J12",27,30,"R",-1,-1,0,1,0,"F",1,0,"D2","2223","sambre avesnois handball","saint gregoire rennes metropole hb",54,38,-16
"SAEDKMS","ACHENHEIM TRUCHTERSHEIM","BASNY jan","BOUILLARGUES HANDBALL NIMES METROPOLE","CENDRE delphine",22,20,"rencontre_D2F_1_2223_440.pdf","J13",21,19,"R",1,1,1,1,0,"F",1,1,"D2","2223","achenheim truchtersheim","bouillargues handball nimes metropole",63,45,-18
"SAEDKMU","ASUL VAULX EN VELIN","MODENEL sebastien","CLUB ATHLETIQUE BEGLAIS","VASSEUR julien",34,36,"rencontre_D2F_1_2223_442.pdf","J14",34,36,"R",-1,-1,0,0,0,"F",1,0,"D2","2223","asul vaulx en velin","club athletique beglais",38,43,5
"SAEDKMV","HAVRE ATHLETIC CLUB HB","PELLAN stephane","STELLA SAINT-MAUR HANDBALL","SAMSON remi",20,21,"rencontre_D2F_1_2223_443.pdf","J14",19,20,"R",-1,-1,0,0,0,"F",0,0,"D2","2223","havre athletic club hb","stella saint-maur handball",45,66,21
