"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","journee","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAEDZOS","BESANCON HANDBALL","GUILLAUME benoit","FRONTIGNAN HANDBALL","ANTONIO MARCOS asier",31,31,"rencontre_D2H_2223_600.pdf","J30",31,30,"R",1,0,0,1,0,"H",0,0,"D2","2223","besancon handball","frontignan handball",17,42,25
"SAEDZOT","TREMBLAY-EN-FRANCE HANDBALL","HAMANI cherif","NANCY HANDBALL","SYLLA yerime",32,32,"rencontre_D2H_2223_601.pdf","J30",31,32,"R",-1,0,1,0,1,"H",0,0,"D2","2223","tremblay-en-france handball","nancy handball",47,29,-18
"SAEEACL","SAINT RAPHAEL VHB","BRAUX benjamin","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",32,30,"rencontre_D1H_2223_3952.pdf","J1",32,29,"R",1,1,1,0,0,"H",1,0,"D1","2223","saint raphael vhb","limoges hand 87",26,25,-1
"SAEEACO","US IVRY HANDBALL","QUINTALLET sebastien","CESSON RENNES METROPOLE HB","LERICHE sebastien",23,27,"rencontre_D1H_2223_3955.pdf","J1",23,26,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","us ivry handball","cesson rennes metropole hb",18,25,7
"SAEEACP","SELESTAT ALSACE HANDBALL","BUSSELIER laurent","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",28,29,"rencontre_D1H_2223_3956.pdf","J1",27,29,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","selestat alsace handball","dunkerque handball grand littoral",12,26,14
"SAEEACS","MONTPELLIER HANDBALL","CANAYER patrice","HBC NANTES","COJEAN gregory",29,30,"rencontre_D1H_2223_3959.pdf","J2",29,30,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","montpellier handball","hbc nantes",52,50,-2
"SAEEACT","CESSON RENNES METROPOLE HB","LERICHE sebastien","SAINT RAPHAEL VHB","BRAUX benjamin",28,24,"rencontre_D1H_2223_3960.pdf","J2",27,24,"R",1,1,1,0,0,"H",0,0,"D1","2223","cesson rennes metropole hb","saint raphael vhb",25,26,1
"SAEEACV","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","CHAMBERY SAVOIE HB","MATHE erick",32,36,"rencontre_D1H_2223_3962.pdf","J2",32,34,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","us creteil handball","chambery savoie hb",16,42,26
"SAEEACW","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","USAM NIMES GARD","VRANJES ljubomir",32,34,"rencontre_D1H_2223_3963.pdf","J2",30,32,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","dunkerque handball grand littoral","usam nimes gard",26,41,15
"SAEEADD","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni",40,38,"rencontre_D1H_2223_3970.pdf","J3",38,36,"R",1,1,1,0,0,"H",0,0,"D1","2223","us creteil handball","c'chartres metropole handball",16,18,2
"SAEEADE","ISTRES PROVENCE HANDBALL","DEROT gilles","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",33,34,"rencontre_D1H_2223_3971.pdf","J3",31,32,"R",-1,-1,0,0,1,"H",1,1,"D1","2223","istres provence handball","limoges hand 87",14,25,11
"SAEEADI","USAM NIMES GARD","VRANJES ljubomir","CHAMBERY SAVOIE HB","MATHE erick",34,37,"rencontre_D1H_2223_3975.pdf","J4",33,36,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","chambery savoie hb",41,42,1
"SAEEADJ","SAINT RAPHAEL VHB","BRAUX benjamin","HBC NANTES","COJEAN gregory",35,38,"rencontre_D1H_2223_3976.pdf","J4",35,37,"R",-1,-1,0,0,1,"H",0,1,"D1","2223","saint raphael vhb","hbc nantes",26,50,24
"SAEEADQ","CHAMBERY SAVOIE HB","MATHE erick","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",26,23,"rencontre_D1H_2223_3983.pdf","J5",25,23,"R",1,1,1,1,0,"H",1,1,"D1","2223","chambery savoie hb","provence aix universite club handball",42,NA,NA
"SAEEADR","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","US IVRY HANDBALL","QUINTALLET sebastien",32,31,"rencontre_D1H_2223_3984.pdf","J5",32,31,"R",1,1,1,0,0,"H",0,0,"D1","2223","fenix toulouse handball","us ivry handball",37,18,-19
"SAEEADS","US CRETEIL HANDBALL","Officiel B ESPARRE christophe","USAM NIMES GARD","Officiel B BALMOSSIERE yann",27,30,"rencontre_D1H_2223_3985.pdf","J5",26,29,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","us creteil handball","usam nimes gard",16,41,25
"SAEEADT","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",26,27,"rencontre_D1H_2223_3986.pdf","J5",26,27,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","limoges hand 87","dunkerque handball grand littoral",25,26,1
"SAEEADV","SELESTAT ALSACE HANDBALL","Officiel B HAEGELI thomas","CESSON RENNES METROPOLE HB","Officiel B LEMAIRE yann",22,23,"rencontre_D1H_2223_3988.pdf","J5",22,23,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","selestat alsace handball","cesson rennes metropole hb",12,25,13
"SAEEADY","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",26,24,"rencontre_D1H_2223_3991.pdf","J6",25,24,"R",1,1,1,1,1,"H",0,0,"D1","2223","provence aix universite club handball","fenix toulouse handball",NA,37,NA
"SAEEADZ","USAM NIMES GARD","VRANJES ljubomir","ISTRES PROVENCE HANDBALL","DEROT gilles",37,34,"rencontre_D1H_2223_3992.pdf","J6",37,34,"R",1,1,1,0,0,"H",0,0,"D1","2223","usam nimes gard","istres provence handball",41,14,-27
"SAEEAEB","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","CHAMBERY SAVOIE HB","MATHE erick",29,28,"rencontre_D1H_2223_3994.pdf","J6",29,28,"R",1,1,1,1,0,"H",0,0,"D1","2223","c'chartres metropole handball","chambery savoie hb",18,42,24
"SAEEAEC","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",31,32,"rencontre_D1H_2223_3995.pdf","J6",31,31,"R",0,-1,0,1,1,"H",0,1,"D1","2223","dunkerque handball grand littoral","us creteil handball",26,16,-10
"SAEEAEF","CHAMBERY SAVOIE HB","MATHE erick","SAINT RAPHAEL VHB","BRAUX benjamin",25,24,"rencontre_D1H_2223_3998.pdf","J7",25,23,"R",1,1,1,0,0,"H",1,0,"D1","2223","chambery savoie hb","saint raphael vhb",42,26,-16
"SAEEAEP","SAINT RAPHAEL VHB","BRAUX benjamin","ISTRES PROVENCE HANDBALL","DEROT gilles",33,32,"rencontre_D1H_2223_4008.pdf","J8",33,32,"R",1,1,1,1,0,"H",0,0,"D1","2223","saint raphael vhb","istres provence handball",26,14,-12
"SAEEAEQ","CESSON RENNES METROPOLE HB","LERICHE sebastien","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",30,27,"rencontre_D1H_2223_4009.pdf","J8",29,26,"R",1,1,1,1,0,"H",1,0,"D1","2223","cesson rennes metropole hb","limoges hand 87",25,25,0
"SAEEAER","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",24,24,"rencontre_D1H_2223_4010.pdf","J8",23,24,"R",-1,0,1,1,1,"H",0,0,"D1","2223","c'chartres metropole handball","fenix toulouse handball",18,37,19
"SAEEAES","US IVRY HANDBALL","QUINTALLET sebastien","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",30,30,"rencontre_D1H_2223_4011.pdf","J8",30,29,"R",1,0,0,0,0,"H",1,1,"D1","2223","us ivry handball","dunkerque handball grand littoral",18,26,8
"SAEEAET","SELESTAT ALSACE HANDBALL","BUSSELIER laurent","USAM NIMES GARD","VRANJES ljubomir",25,28,"rencontre_D1H_2223_4012.pdf","J8",24,27,"R",-1,-1,0,0,0,"H",1,0,"D1","2223","selestat alsace handball","usam nimes gard",12,41,29
"SAEEAEV","CHAMBERY SAVOIE HB","MATHE erick","MONTPELLIER HANDBALL","CANAYER patrice",30,31,"rencontre_D1H_2223_4014.pdf","J9",29,30,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","chambery savoie hb","montpellier handball",42,52,10
"SAEEAEZ","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","SAINT RAPHAEL VHB","BRAUX benjamin",31,29,"rencontre_D1H_2223_4018.pdf","J9",30,27,"R",1,1,1,0,0,"H",1,0,"D1","2223","dunkerque handball grand littoral","saint raphael vhb",26,26,0
"SAEEAFB","ISTRES PROVENCE HANDBALL","DEROT gilles","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni",32,34,"rencontre_D1H_2223_4020.pdf","J9",32,33,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","istres provence handball","c'chartres metropole handball",14,18,4
"SAEEAFF","SAINT RAPHAEL VHB","BRAUX benjamin","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",36,32,"rencontre_D1H_2223_4024.pdf","J10",35,32,"R",1,1,1,1,1,"H",0,0,"D1","2223","saint raphael vhb","fenix toulouse handball",26,37,11
"SAEEAFH","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",32,33,"rencontre_D1H_2223_4026.pdf","J10",32,32,"R",0,-1,0,1,1,"H",0,0,"D1","2223","c'chartres metropole handball","paris saint-germain handball",18,54,36
"SAEEAFM","USAM NIMES GARD","VRANJES ljubomir","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",31,33,"rencontre_D1H_2223_4031.pdf","J11",31,31,"R",0,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","provence aix universite club handball",41,NA,NA
"SAEEAFN","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","HBC NANTES","COJEAN gregory",32,31,"rencontre_D1H_2223_4032.pdf","J11",32,31,"R",1,1,1,0,0,"H",0,0,"D1","2223","fenix toulouse handball","hbc nantes",37,50,13
"SAEEAFP","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","CESSON RENNES METROPOLE HB","LERICHE sebastien",32,31,"rencontre_D1H_2223_4034.pdf","J11",31,30,"R",1,1,1,1,0,"H",0,0,"D1","2223","dunkerque handball grand littoral","cesson rennes metropole hb",26,25,-1
"SAEEAFU","SAINT RAPHAEL VHB","BRAUX benjamin","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",35,33,"rencontre_D1H_2223_4039.pdf","J12",32,31,"R",1,1,1,0,0,"H",0,1,"D1","2223","saint raphael vhb","us creteil handball",26,16,-10
"SAEEAFW","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","USAM NIMES GARD","CHAUVET jerome",28,31,"rencontre_D1H_2223_4041.pdf","J12",28,30,"R",-1,-1,0,0,1,"H",1,0,"D1","2223","c'chartres metropole handball","usam nimes gard",18,41,23
"SAEEAFX","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","CHAMBERY SAVOIE HB","MATHE erick",24,23,"rencontre_D1H_2223_4042.pdf","J12",24,23,"R",1,1,1,1,0,"H",0,0,"D1","2223","limoges hand 87","chambery savoie hb",25,42,17
"SAEEAGB","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry","US IVRY HANDBALL","QUINTALLET sebastien",34,34,"rencontre_D1H_2223_4046.pdf","J13",34,33,"R",1,0,0,0,0,"H",0,0,"D1","2223","provence aix universite club handball","us ivry handball",NA,18,NA
"SAEEAGD","USAM NIMES GARD","VRANJES ljubomir","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",37,38,"rencontre_D1H_2223_4048.pdf","J13",35,38,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","usam nimes gard","fenix toulouse handball",41,37,-4
"SAEEAGG","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","HBC NANTES","COJEAN gregory",29,32,"rencontre_D1H_2223_4051.pdf","J13",29,31,"R",-1,-1,0,0,0,"H",1,1,"D1","2223","dunkerque handball grand littoral","hbc nantes",26,50,24
"SAEEAGJ","MONTPELLIER HANDBALL","CANAYER patrice","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",31,30,"rencontre_D1H_2223_4054.pdf","J14",31,30,"R",1,1,1,1,1,"H",0,1,"D1","2223","montpellier handball","paris saint-germain handball",52,54,2
"SAEEAGK","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","CHAMBERY SAVOIE HB","MATHE erick",30,31,"rencontre_D1H_2223_4055.pdf","J14",30,31,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","fenix toulouse handball","chambery savoie hb",37,42,5
"SAEEAGL","CESSON RENNES METROPOLE HB","LERICHE sebastien","USAM NIMES GARD","VRANJES ljubomir",22,23,"rencontre_D1H_2223_4056.pdf","J14",22,22,"R",0,-1,0,1,1,"H",0,0,"D1","2223","cesson rennes metropole hb","usam nimes gard",25,41,16
"SAEEAGN","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","SELESTAT ALSACE HANDBALL","BUSSELIER laurent",29,31,"rencontre_D1H_2223_4058.pdf","J14",28,30,"R",-1,-1,0,0,0,"H",0,1,"D1","2223","limoges hand 87","selestat alsace handball",25,12,-13
"SAEEAGO","ISTRES PROVENCE HANDBALL","DEROT gilles","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",26,26,"rencontre_D1H_2223_4059.pdf","J14",25,26,"R",-1,0,1,0,1,"H",0,0,"D1","2223","istres provence handball","us creteil handball",14,16,2
"SAEEAGP","US IVRY HANDBALL","QUINTALLET sebastien","SAINT RAPHAEL VHB","BRAUX benjamin",30,28,"rencontre_D1H_2223_4060.pdf","J14",30,27,"R",1,1,1,0,0,"H",1,0,"D1","2223","us ivry handball","saint raphael vhb",18,26,8
"SAEEAGQ","HBC NANTES","COJEAN gregory","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",32,33,"rencontre_D1H_2223_4061.pdf","J15",31,32,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","hbc nantes","paris saint-germain handball",50,54,4
"SAEEAGR","CHAMBERY SAVOIE HB","MATHE erick","CESSON RENNES METROPOLE HB","LERICHE sebastien",24,24,"rencontre_D1H_2223_4062.pdf","J15",23,24,"R",-1,0,1,1,1,"H",0,0,"D1","2223","chambery savoie hb","cesson rennes metropole hb",42,25,-17
"SAEEAGS","USAM NIMES GARD","VRANJES ljubomir","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",34,29,"rencontre_D1H_2223_4063.pdf","J15",32,29,"R",1,1,1,0,0,"H",0,0,"D1","2223","usam nimes gard","limoges hand 87",41,25,-16
"SAEEAGU","SAINT RAPHAEL VHB","BRAUX benjamin","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",31,34,"rencontre_D1H_2223_4065.pdf","J15",31,34,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","saint raphael vhb","provence aix universite club handball",26,NA,NA
"SAEEAGW","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","ISTRES PROVENCE HANDBALL","DEROT gilles",30,30,"rencontre_D1H_2223_4067.pdf","J15",30,29,"R",1,0,0,0,0,"H",1,1,"D1","2223","dunkerque handball grand littoral","istres provence handball",26,14,-12
"SAEEAHB","CESSON RENNES METROPOLE HB","LERICHE sebastien","SELESTAT ALSACE HANDBALL","BUSSELIER laurent",28,29,"rencontre_D1H_2223_4072.pdf","J16",28,27,"R",1,-1,0,1,0,"H",0,0,"D1","2223","cesson rennes metropole hb","selestat alsace handball",25,12,-13
"SAEEAHE","ISTRES PROVENCE HANDBALL","DEROT gilles","SAINT RAPHAEL VHB","BRAUX benjamin",28,26,"rencontre_D1H_2223_4075.pdf","J16",27,25,"R",1,1,1,0,0,"H",0,0,"D1","2223","istres provence handball","saint raphael vhb",14,26,12
"SAEEAHF","US IVRY HANDBALL","DINART didier","CHAMBERY SAVOIE HB","MATHE erick",33,35,"rencontre_D1H_2223_4076.pdf","J16",31,34,"R",-1,-1,0,0,0,"H",0,1,"D1","2223","us ivry handball","chambery savoie hb",18,42,24
"SAEEAHI","USAM NIMES GARD","VRANJES ljubomir","MONTPELLIER HANDBALL","CANAYER patrice",28,29,"rencontre_D1H_2223_4079.pdf","J17",27,28,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","usam nimes gard","montpellier handball",41,52,11
"SAEEAHJ","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","PAYS AIX UNIVERSITE CLUB HANDBALL","ANTI thierry",29,25,"rencontre_D1H_2223_4080.pdf","J17",27,25,"R",1,1,1,0,1,"H",1,0,"D1","2223","fenix toulouse handball","provence aix universite club handball",37,NA,NA
"SAEEAHK","SAINT RAPHAEL VHB","BRAUX benjamin","US IVRY HANDBALL","DINART didier",29,25,"rencontre_D1H_2223_4081.pdf","J17",28,25,"R",1,1,1,1,0,"H",0,0,"D1","2223","saint raphael vhb","us ivry handball",26,18,-8
"SAEEAHL","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","CESSON RENNES METROPOLE HB","LERICHE sebastien",29,28,"rencontre_D1H_2223_4082.pdf","J17",28,27,"R",1,1,1,1,1,"H",0,0,"D1","2223","us creteil handball","cesson rennes metropole hb",16,25,9
"SAEEAHM","ISTRES PROVENCE HANDBALL","DEROT gilles","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",28,30,"rencontre_D1H_2223_4083.pdf","J17",28,29,"R",-1,-1,0,1,1,"H",0,0,"D1","2223","istres provence handball","dunkerque handball grand littoral",14,26,12
"SAEEAHR","CESSON RENNES METROPOLE HB","LERICHE sebastien","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",28,31,"rencontre_D1H_2223_4088.pdf","J18",28,29,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","cesson rennes metropole hb","fenix toulouse handball",25,37,12
"SAEEAHS","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","SAINT RAPHAEL VHB","BRAUX benjamin",29,30,"rencontre_D1H_2223_4089.pdf","J18",29,29,"R",0,-1,0,0,1,"H",0,1,"D1","2223","c'chartres metropole handball","saint raphael vhb",18,26,8
"SAEEAHX","CHAMBERY SAVOIE HB","MATHE erick","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",34,33,"rencontre_D1H_2223_4094.pdf","J19",33,31,"R",1,1,1,1,0,"H",1,0,"D1","2223","chambery savoie hb","paris saint-germain handball",42,54,12
"SAEEAHZ","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",33,33,"rencontre_D1H_2223_4096.pdf","J19",32,31,"R",1,0,0,1,0,"H",1,0,"D1","2223","fenix toulouse handball","limoges hand 87",37,25,-12
"SAEEAIB","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",34,30,"rencontre_D1H_2223_4098.pdf","J19",32,29,"R",1,1,1,0,0,"H",0,0,"D1","2223","us creteil handball","dunkerque handball grand littoral",16,26,10
"SAEEAID","SELESTAT ALSACE HANDBALL","BUSSELIER laurent","US IVRY HANDBALL","DINART didier",30,32,"rencontre_D1H_2223_4100.pdf","J19",30,32,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","selestat alsace handball","us ivry handball",12,18,6
"SAEEAIF","PAYS AIX UNIVERSITE CLUB HANDBALL","PAVONI benjamin","SAINT RAPHAEL VHB","BRAUX benjamin",24,28,"rencontre_D1H_2223_4102.pdf","J20",24,27,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","provence aix universite club handball","saint raphael vhb",NA,26,NA
"SAEEAIG","MONTPELLIER HANDBALL","CANAYER patrice","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni",27,24,"rencontre_D1H_2223_4103.pdf","J20",26,24,"R",1,1,1,1,0,"H",0,0,"D1","2223","montpellier handball","c'chartres metropole handball",52,18,-34
"SAEEAIJ","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck","SELESTAT ALSACE HANDBALL","BUSSELIER laurent",29,28,"rencontre_D1H_2223_4106.pdf","J20",29,26,"R",1,1,1,1,0,"H",0,0,"D1","2223","dunkerque handball grand littoral","selestat alsace handball",26,12,-14
"SAEEAIN","HBC NANTES","COJEAN gregory","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel",33,33,"rencontre_D1H_2223_4110.pdf","J21",32,31,"R",1,0,0,0,0,"H",0,1,"D1","2223","hbc nantes","fenix toulouse handball",50,37,-13
"SAEEAIS","US IVRY HANDBALL","DINART didier","PAYS AIX UNIVERSITE CLUB HANDBALL","PAVONI benjamin",29,29,"rencontre_D1H_2223_4115.pdf","J21",29,28,"R",1,0,0,0,1,"H",0,0,"D1","2223","us ivry handball","provence aix universite club handball",18,NA,NA
"SAEEAIU","PAYS AIX UNIVERSITE CLUB HANDBALL","PAVONI benjamin","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni",29,27,"rencontre_D1H_2223_4117.pdf","J22",27,26,"R",1,1,1,0,0,"H",1,0,"D1","2223","provence aix universite club handball","c'chartres metropole handball",NA,18,NA
"SAEEAIV","MONTPELLIER HANDBALL","CANAYER patrice","US IVRY HANDBALL","DINART didier",26,23,"rencontre_D1H_2223_4118.pdf","J22",26,23,"R",1,1,1,0,0,"H",0,1,"D1","2223","montpellier handball","us ivry handball",52,18,-34
"SAEEAIX","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","USAM NIMES GARD","VRANJES ljubomir",32,34,"rencontre_D1H_2223_4120.pdf","J22",32,33,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","fenix toulouse handball","usam nimes gard",37,41,4
"SAEEAIY","CESSON RENNES METROPOLE HB","LERICHE sebastien","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",27,26,"rencontre_D1H_2223_4121.pdf","J22",26,25,"R",1,1,1,0,0,"H",0,1,"D1","2223","cesson rennes metropole hb","dunkerque handball grand littoral",25,26,1
"SAEEAIZ","US CRETEIL HANDBALL","BARBEITO DELGADO fernando","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",37,40,"rencontre_D1H_2223_4122.pdf","J22",36,39,"R",-1,-1,0,0,0,"H",0,1,"D1","2223","us creteil handball","paris saint-germain handball",16,54,38
"SAEEAJA","LIMOGES HAND 87","ENTRERRIOS RODRIGUEZ alberto","SAINT RAPHAEL VHB","BRAUX benjamin",32,31,"rencontre_D1H_2223_4123.pdf","J22",31,31,"R",0,1,1,0,0,"H",0,0,"D1","2223","limoges hand 87","saint raphael vhb",25,26,1
"SAEEAJD","HBC NANTES","COJEAN gregory","MONTPELLIER HANDBALL","CANAYER patrice",29,28,"rencontre_D1H_2223_4126.pdf","J23",28,27,"R",1,1,1,0,0,"H",0,0,"D1","2223","hbc nantes","montpellier handball",50,52,2
"SAEEAJG","C'CHARTRES METROPOLE HANDBALL","GERONA SALAET toni","ISTRES PROVENCE HANDBALL","DEROT gilles",25,26,"rencontre_D1H_2223_4129.pdf","J23",25,25,"R",0,-1,0,1,0,"H",0,0,"D1","2223","c'chartres metropole handball","istres provence handball",18,14,-4
"SAEEAJJ","SELESTAT ALSACE HANDBALL","BUSSELIER laurent","LIMOGES HAND","ENTRERRIOS RODRIGUEZ alberto",29,27,"rencontre_D1H_2223_4132.pdf","J23",26,25,"R",1,1,1,0,0,"H",0,1,"D1","2223","selestat alsace handball","limoges hand 87",12,25,13
"SAEEAJL","PAYS AIX UNIVERSITE CLUB HANDBALL","PAVONI benjamin","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",37,35,"rencontre_D1H_2223_4134.pdf","J24",35,33,"R",1,1,1,0,0,"H",0,0,"D1","2223","provence aix universite club handball","us creteil handball",NA,16,NA
"SAEEAJQ","ISTRES PROVENCE HANDBALL","DEROT gilles","CHAMBERY SAVOIE HB","MATHE erick",35,37,"rencontre_D1H_2223_4139.pdf","J24",34,36,"R",-1,-1,0,0,1,"H",0,1,"D1","2223","istres provence handball","chambery savoie hb",14,42,28
"SAEEAJV","C'CHARTRES METROPOLE HANDBALL","STOJINOVIC nebojsa","CESSON RENNES METROPOLE HB","LERICHE sebastien",21,22,"rencontre_D1H_2223_4144.pdf","J25",21,22,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","c'chartres metropole handball","cesson rennes metropole hb",18,25,7
"SAEEAKC","USAM NIMES GARD","VRANJES ljubomir","US CRETEIL HANDBALL","BARBEITO DELGADO fernando",29,27,"rencontre_D1H_2223_4151.pdf","J26",29,27,"R",1,1,1,0,1,"H",0,0,"D1","2223","usam nimes gard","us creteil handball",41,16,-25
"SAEEAKD","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","SAINT RAPHAEL VHB","BRAUX benjamin",33,32,"rencontre_D1H_2223_4152.pdf","J26",32,31,"R",1,1,1,1,0,"H",1,0,"D1","2223","fenix toulouse handball","saint raphael vhb",37,26,-11
"SAEEAKE","CESSON RENNES METROPOLE HB","LERICHE sebastien","MONTPELLIER HANDBALL","CANAYER patrice",22,25,"rencontre_D1H_2223_4153.pdf","J26",21,24,"R",-1,-1,0,0,0,"H",0,1,"D1","2223","cesson rennes metropole hb","montpellier handball",25,52,27
"SAEEAKG","ISTRES PROVENCE HANDBALL","DEROT gilles","SELESTAT ALSACE HANDBALL","BUSSELIER laurent",30,30,"rencontre_D1H_2223_4155.pdf","J26",30,28,"R",1,0,0,1,0,"H",1,0,"D1","2223","istres provence handball","selestat alsace handball",14,12,-2
"SAEEAKH","US IVRY HANDBALL","DINART didier","C'CHARTRES METROPOLE HANDBALL","STOJINOVIC nebojsa",27,27,"rencontre_D1H_2223_4156.pdf","J26",27,26,"R",1,0,0,0,0,"H",0,1,"D1","2223","us ivry handball","c'chartres metropole handball",18,18,0
"SAEEAKQ","HBC NANTES","COJEAN gregory","USAM NIMES GARD","VRANJES ljubomir",28,28,"rencontre_D1H_2223_4165.pdf","J28",28,27,"R",1,0,0,1,1,"H",0,0,"D1","2223","hbc nantes","usam nimes gard",50,41,-9
"SAEEAKR","FENIX TOULOUSE HANDBALL","ANDELKOVIC danijel","DUNKERQUE HANDBALL GRAND LITTORAL","MAURICE franck",36,37,"rencontre_D1H_2223_4166.pdf","J28",36,35,"R",1,-1,0,0,0,"H",1,0,"D1","2223","fenix toulouse handball","dunkerque handball grand littoral",37,26,-11
"SAEEAKS","SAINT RAPHAEL VHB","BRAUX benjamin","PARIS SAINT-GERMAIN HANDBALL","GONZALEZ GUTIERREZ raul",34,37,"rencontre_D1H_2223_4167.pdf","J28",33,36,"R",-1,-1,0,0,0,"H",0,0,"D1","2223","saint raphael vhb","paris saint-germain handball",26,54,28
"SAEEAKU","C'CHARTRES METROPOLE HANDBALL","STOJINOVIC nebojsa","SELESTAT ALSACE HANDBALL","BUSSELIER laurent",30,32,"rencontre_D1H_2223_4169.pdf","J28",29,31,"R",-1,-1,0,0,1,"H",0,0,"D1","2223","c'chartres metropole handball","selestat alsace handball",18,12,-6
