code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_29_min,score_visiteur_29_min,temps_proche_30_min,score_recevant_30_min,score_visiteur_30_min,equipe,statut_29_min,statut_30_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
SAEEAGN,LIMOGES HAND 87,RODRIGUEZ alberto,SELESTAT ALSACE HANDBALL,BUSSELIER laurent,J14,29,31,rencontre_D1H_2223_4058.pdf,16,14,1722,16,14,R,1,1,-1,1,0,0,H,0,0,D1,2223
SAEEAGO,ISTRES PROVENCE HANDBALL,DEROT gilles,US CRETEIL HANDBALL,DELGADO fernando,J14,26,26,rencontre_D1H_2223_4059.pdf,14,15,1756,14,15,R,-1,-1,0,0,0,1,H,0,0,D1,2223
SAEEAGP,US IVRY HANDBALL,QUINTALLET sebastien,SAINT RAPHAEL VHB,BRAUX benjamin,J14,30,28,rencontre_D1H_2223_4060.pdf,17,15,1673,17,15,R,1,1,1,1,0,0,H,0,1,D1,2223
SAEEAGQ,HBC NANTES,COJEAN gregory,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J15,32,33,rencontre_D1H_2223_4061.pdf,16,16,1773,16,17,R,0,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAGR,CHAMBERY SAVOIE HB,MATHE erick,CESSON RENNES METROPOLE HB,LERICHE sebastien,J15,24,24,rencontre_D1H_2223_4062.pdf,11,10,1782,12,11,R,1,1,0,1,0,0,H,0,0,D1,2223
SAEEAGS,USAM NIMES GARD,VRANJES ljubomir,LIMOGES HAND,RODRIGUEZ alberto,J15,34,29,rencontre_D1H_2223_4063.pdf,19,16,1774,20,16,R,1,1,1,1,0,0,H,0,0,D1,2223
SAEEAGU,SAINT RAPHAEL VHB,BRAUX benjamin,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,J15,31,34,rencontre_D1H_2223_4065.pdf,14,15,1782,15,15,R,-1,0,-1,1,0,0,H,1,0,D1,2223
SAEEAGV,US CRETEIL HANDBALL,DELGADO fernando,US IVRY HANDBALL,QUINTALLET sebastien,J15,33,23,rencontre_D1H_2223_4066.pdf,14,13,1797,15,13,R,1,1,1,1,1,0,H,0,1,D1,2223
SAEEAGW,DUNKERQUE HANDBALL GRAND LITTORAL,MAURICE franck,ISTRES PROVENCE HANDBALL,DEROT gilles,J15,30,30,rencontre_D1H_2223_4067.pdf,14,15,1799,16,17,R,-1,-1,0,0,0,0,H,1,0,D1,2223
SAEEAGY,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,DUNKERQUE HANDBALL GRAND LITTORAL,MAURICE franck,J16,44,36,rencontre_D1H_2223_4069.pdf,18,16,1798,21,18,R,1,1,1,1,1,0,H,0,1,D1,2223
SAEEAHA,MONTPELLIER HANDBALL,CANAYER patrice,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J16,34,29,rencontre_D1H_2223_4071.pdf,16,15,1770,17,15,R,1,1,1,1,0,0,H,0,0,D1,2223
SAEEAHB,CESSON RENNES METROPOLE HB,LERICHE sebastien,SELESTAT ALSACE HANDBALL,BUSSELIER laurent,J16,28,29,rencontre_D1H_2223_4072.pdf,14,14,1764,14,15,R,0,-1,-1,0,0,0,H,1,0,D1,2223
SAEEAHE,ISTRES PROVENCE HANDBALL,DEROT gilles,SAINT RAPHAEL VHB,BRAUX benjamin,J16,28,26,rencontre_D1H_2223_4075.pdf,13,11,1758,14,11,R,1,1,1,1,0,0,H,0,1,D1,2223
SAEEAHF,US IVRY HANDBALL,DINART didier,CHAMBERY SAVOIE HB,MATHE erick,J16,33,35,rencontre_D1H_2223_4076.pdf,17,15,1786,18,16,R,1,1,-1,1,0,0,H,0,0,D1,2223
SAEEAHG,HBC NANTES,COJEAN gregory,LIMOGES HAND,RODRIGUEZ alberto,J17,37,27,rencontre_D1H_2223_4077.pdf,16,14,1799,17,15,R,1,1,1,1,0,0,H,0,1,D1,2223
SAEEAHK,SAINT RAPHAEL VHB,BRAUX benjamin,US IVRY HANDBALL,DINART didier,J17,29,25,rencontre_D1H_2223_4081.pdf,13,14,1771,14,14,R,-1,0,1,1,0,1,H,0,0,D1,2223
SAEEAHN,SELESTAT ALSACE HANDBALL,BUSSELIER laurent,PARIS SAINT-GERMAIN HANDBALL,GUTIERREZ raul,J17,31,34,rencontre_D1H_2223_4084.pdf,13,15,1786,13,15,R,-1,-1,-1,0,0,1,H,0,0,D1,2223
SAEEAHP,PAYS AIX UNIVERSITE CLUB HANDBALL,ANTI thierry,SELESTAT ALSACE HANDBALL,BUSSELIER laurent,J18,25,31,rencontre_D1H_2223_4086.pdf,14,15,1783,15,16,R,-1,-1,-1,0,0,0,H,0,1,D1,2223
SAEEAHR,CESSON RENNES METROPOLE HB,LERICHE sebastien,FENIX TOULOUSE HANDBALL,ANDELKOVIC danijel,J18,28,31,rencontre_D1H_2223_4088.pdf,13,13,1797,13,14,R,0,-1,-1,0,0,0,H,0,0,D1,2223
SAEEAHS,C'CHARTRES METROPOLE HANDBALL,SALAET toni,SAINT RAPHAEL VHB,BRAUX benjamin,J18,29,30,rencontre_D1H_2223_4089.pdf,15,14,1785,15,14,R,1,1,-1,1,0,0,H,0,0,D1,2223
SAEEAHU,LIMOGES HAND 87,RODRIGUEZ alberto,ISTRES PROVENCE HANDBALL,DEROT gilles,J18,32,32,rencontre_D1H_2223_4091.pdf,11,13,1794,11,14,R,-1,-1,0,0,0,0,H,0,0,D1,2223
SAEEAHY,USAM NIMES GARD,VRANJES ljubomir,C'CHARTRES METROPOLE HANDBALL,SALAET toni,J19,32,29,rencontre_D1H_2223_4095.pdf,16,17,1797,17,19,R,-1,-1,1,0,1,0,H,0,0,D1,2223
