;club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26;J27;J28;J29;J30
77;HAVRE ATHLETIC CLUB HB;D2;2223;F;24;45;1;3;3;1;1;3;1;3;1;NA;3;1;1;1;3;3;1;3;1;1;1;3;1;NA;2;3;NA;NA;NA;NA
78;LOMME LILLE METROPOLE HB;D2;2223;F;24;41;NA;1;1;1;1;3;1;3;3;3;1;1;3;NA;1;1;2;1;3;3;3;1;1;1;1;1;NA;NA;NA;NA
79;NOISY LE GRAND HANDBALL;D2;2223;F;24;55;3;1;3;1;1;3;3;1;3;3;2;3;NA;3;1;3;3;3;3;3;NA;3;1;1;3;1;NA;NA;NA;NA
80;PALENTE BESANCON HANDBALL;D2;2223;F;24;36;1;1;1;1;3;1;NA;1;3;3;1;1;1;1;1;1;2;1;1;NA;3;1;1;1;2;3;NA;NA;NA;NA
81;SAINT GREGOIRE RENNES METROPOLE HB;D2;2223;F;24;38;3;1;1;3;1;1;1;1;NA;1;1;3;1;3;1;3;2;NA;1;1;1;1;1;1;2;3;NA;NA;NA;NA
82;SAMBRE AVESNOIS HANDBALL;D2;2223;F;24;54;3;1;1;3;NA;3;3;3;1;1;3;1;3;3;3;1;3;1;3;1;3;3;1;3;3;NA;NA;NA;NA;NA
83;STELLA SAINT-MAUR HANDBALL;D2;2223;F;24;66;3;3;3;3;3;NA;3;3;3;3;3;3;3;3;3;1;1;3;NA;3;3;3;3;3;1;3;NA;NA;NA;NA
84;TOULOUSE FEMININ HANDBALL;D2;2223;F;24;44;1;1;3;1;3;1;3;1;1;1;NA;1;2;1;1;3;1;1;3;3;3;3;NA;3;2;1;NA;NA;NA;NA
85;BREST BRETAGNE HANDBALL;D1;2324;F;24;72;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;3;3;1;3;3;2;NA;NA;NA;NA
86;CHAMBRAY TOURAINE HANDBALL;D1;2324;F;26;56;3;1;3;1;1;3;3;3;1;3;3;1;3;1;3;3;2;3;1;3;3;2;3;1;1;1;NA;NA;NA;NA
87;ES BESANCON FEMININ;D1;2324;F;26;53;3;1;3;1;3;3;2;1;1;1;3;1;3;1;2;1;3;1;1;3;3;1;3;3;3;2;NA;NA;NA;NA
88;HANDBALL PLAN DE CUQUES;D1;2324;F;26;54;1;1;3;3;3;1;1;3;3;1;3;1;3;2;3;3;1;1;3;1;3;2;3;1;3;1;NA;NA;NA;NA
89;JDA BOURGOGNE DIJON HANDBALL;D1;2324;F;26;56;3;2;1;3;1;1;2;3;2;1;1;3;3;3;2;1;1;3;1;1;3;3;3;3;3;3;NA;NA;NA;NA
90;LES NEPTUNES DE NANTES;D1;2324;F;26;64;3;3;3;1;3;3;1;3;3;3;3;3;1;3;3;1;3;3;3;1;1;3;3;3;1;3;NA;NA;NA;NA
91;MERIGNAC HANDBALL;D1;2324;F;26;40;1;1;1;1;3;1;3;1;2;3;1;1;1;3;1;1;1;1;3;1;1;1;1;1;2;3;NA;NA;NA;NA
92;METZ HANDBALL;D1;2324;F;26;76;3;3;3;3;3;3;3;3;3;3;3;3;1;3;3;3;3;3;3;3;3;3;3;3;3;3;NA;NA;NA;NA
93;OGC NICE COTE D'AZUR HANDBALL;D1;2324;F;26;44;3;2;1;1;1;3;1;3;1;1;1;1;1;1;1;3;3;3;3;1;1;1;1;1;2;3;NA;NA;NA;NA
94;PARIS;D1;2324;F;26;62;1;3;3;3;3;1;3;1;3;3;3;3;3;1;3;3;1;3;3;3;3;3;1;3;1;1;NA;NA;NA;NA
95;ST AMAND HANDBALL - PORTE DU HAINAUT;D1;2324;F;26;37;1;1;1;3;1;3;1;1;3;1;1;1;1;2;1;1;3;1;1;3;1;1;1;1;1;1;NA;NA;NA;NA
96;STELLA SAINT-MAUR HANDBALL;D1;2324;F;26;35;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;1;1;3;1;1;1;1;1;3;NA;NA;NA;NA
97;STRASBOURG ACHENHEIM TRUCHTERSHEIM HANDBALL;D1;2324;F;26;39;1;1;1;3;1;1;1;1;1;3;1;3;1;3;1;1;1;1;1;1;1;2;3;1;3;1;NA;NA;NA;NA
98;TOULON METROPOLE VAR HANDBALL;D1;2324;F;26;37;1;3;1;1;1;1;3;1;1;1;1;3;3;1;1;1;1;1;1;1;1;2;1;3;1;1;NA;NA;NA;NA
99;ASUL VAULX EN VELIN;D2;2324;F;24;38;1;1;1;NA;1;1;3;2;1;3;1;3;1;1;1;3;1;3;NA;1;1;3;1;1;1;2;NA;NA;NA;NA
100;BOUILLARGUES HANDBALL NIMES METROPOLE;D2;2324;F;24;43;1;1;3;3;2;3;1;1;3;1;1;NA;2;1;1;3;2;1;3;NA;1;1;1;1;3;3;NA;NA;NA;NA
101;CELLES SUR BELLE MELLOIS EN POITOU;D2;2324;F;24;57;3;3;1;3;1;NA;1;3;1;3;3;3;3;3;3;3;3;1;3;1;3;3;2;NA;3;1;NA;NA;NA;NA
102;CLUB ATHLETIQUE BEGLAIS;D2;2324;F;24;53;3;3;NA;1;3;3;3;3;3;1;1;1;3;1;NA;2;2;1;1;3;3;3;1;2;3;3;NA;NA;NA;NA
103;HANDBALL CLERMONT AUVERGNE METROPOLE;D2;2324;F;24;54;3;1;3;3;NA;2;3;3;3;1;3;1;3;3;3;1;2;3;1;3;3;1;NA;2;2;1;NA;NA;NA;NA
104;HAVRE ATHLETIC CLUB HB;D2;2324;F;24;42;1;3;3;1;2;1;1;1;1;3;3;3;NA;1;3;1;1;1;1;3;1;3;2;1;1;NA;NA;NA;NA;NA
105;LE POUZIN HB;D2;2324;F;24;37;NA;1;3;1;2;1;1;2;1;1;1;1;1;3;1;2;1;NA;1;1;3;1;3;2;2;1;NA;NA;NA;NA
106;LOMME LILLE METROPOLE HB;D2;2324;F;24;40;1;NA;1;1;1;1;1;1;1;1;3;2;3;3;3;NA;2;1;1;1;1;3;3;1;1;3;NA;NA;NA;NA
107;NOISY LE GRAND HANDBALL;D2;2324;F;24;53;3;3;1;1;3;2;3;3;3;3;NA;1;1;3;3;1;NA;1;3;3;1;1;1;3;3;3;NA;NA;NA;NA
108;SAINT GREGOIRE RENNES METROPOLE HB;D2;2324;F;24;43;1;1;3;3;1;3;1;1;NA;3;1;1;1;1;1;1;3;3;3;1;3;1;3;2;NA;1;NA;NA;NA;NA
109;SAMBRE AVESNOIS HANDBALL;D2;2324;F;24;69;3;3;3;3;3;3;3;3;3;NA;3;3;3;3;1;3;3;3;3;3;NA;2;3;3;3;3;NA;NA;NA;NA
110;STADE PESSACAIS UNION CLUB HANDBALL;D2;2324;F;24;60;1;3;1;3;3;3;3;NA;3;3;3;3;2;NA;1;3;3;3;3;3;3;2;3;3;1;1;NA;NA;NA;NA
111;TOULOUSE FEMININ HANDBALL;D2;2324;F;24;35;3;1;1;1;2;1;NA;1;1;1;1;2;1;1;3;1;1;3;1;1;1;NA;1;3;1;2;NA;NA;NA;NA
112;C'CHARTRES METROPOLE HANDBALL;D1;2021;H;29;51;1;1;NA;1;3;1;3;3;1;1;3;3;1;3;1;1;1;3;3;1;1;1;1;3;3;1;1;3;1;1
113;CESSON RENNES METROPOLE HB;D1;2021;H;28;46;2;1;2;3;1;1;1;2;1;1;3;2;1;2;1;1;1;1;NA;NA;3;3;3;1;1;3;1;2;1;1
114;CHAMBERY SAVOIE HB;D1;2021;H;29;59;1;3;1;1;2;3;3;1;3;2;1;3;NA;1;2;3;1;3;3;3;1;1;3;3;1;2;2;2;1;3
115;DUNKERQUE HANDBALL GRAND LITTORAL;D1;2021;H;27;50;1;2;3;1;3;3;1;1;3;1;1;1;NA;1;3;1;NA;2;NA;3;3;1;1;1;3;1;3;2;3;1
116;FENIX TOULOUSE HANDBALL;D1;2021;H;27;55;3;1;1;1;1;3;3;1;3;3;3;1;1;2;1;1;NA;1;NA;1;NA;2;3;3;3;3;3;3;1;3
117;HBC NANTES;D1;2021;H;28;71;3;3;3;2;3;1;NA;3;3;3;3;1;1;1;3;3;2;3;3;NA;1;2;3;3;3;3;3;3;3;3
118;ISTRES PROVENCE HANDBALL;D1;2021;H;30;50;3;2;1;2;1;1;1;3;1;1;1;2;1;1;1;3;3;1;1;3;1;1;3;1;1;1;3;1;3;2
119;LIMOGES;D1;2021;H;30;57;1;3;3;2;3;3;1;3;1;3;1;3;3;1;2;3;3;1;1;1;1;2;1;1;1;3;1;2;1;2
