;club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
60;MAINVILLIERS-CHARTRES HANDBALL;N1;2122;H;21;42;1;1;3;1;2;3;1;3;2;3;1;2;1;1;1;3;3;3;1;1;3;2;NA;NA;NA;NA
61;MASSY ESSONNE HANDBALL;N1;2122;H;22;43;3;3;1;1;3;3;1;1;1;3;1;2;3;1;1;3;3;3;3;1;1;1;NA;NA;NA;NA
62;PARIS SAINT-GERMAIN HANDBALL;N1;2122;H;22;52;3;3;3;3;1;1;1;1;2;3;3;1;3;3;1;3;3;3;2;3;3;3;NA;NA;NA;NA
63;PATRONAGE LAIQUE GRANVILLE HANDBALL;N1;2122;H;33;37;3;3;3;1;2;1;1;1;3;1;1;3;1;1;1;1;3;1;3;1;1;1;NA;NA;NA;NA
64;PAU NOUSTY SPORTS;N1;2122;H;22;44;1;3;2;3;1;3;1;1;3;3;1;3;1;3;1;3;3;2;1;1;3;1;NA;NA;NA;NA
65;POUZAUGES VENDEE HANDBALL;N1;2122;H;22;41;3;1;1;1;1;3;1;2;1;1;2;2;3;3;1;3;3;3;1;3;1;1;NA;NA;NA;NA
66;REVEIL DE NOGENT HANDBALL;N1;2122;H;22;35;1;1;3;3;1;3;1;3;1;1;1;2;1;3;1;2;1;1;2;1;1;1;NA;NA;NA;NA
68;SAINT CYR HANDBALL;N1;2122;H;22;45;1;3;1;3;1;1;1;2;2;3;1;3;2;3;3;1;3;1;3;3;3;1;NA;NA;NA;NA
69;SAVIGNY HB;N1;2122;H;21;42;1;1;2;1;2;1;1;3;1;3;3;3;1;3;3;1;3;3;1;1;3;1;NA;NA;NA;NA
70;TORCY HANDBALL MARNE LA VALLEE;N1;2122;H;22;42;1;3;2;3;1;3;3;1;1;1;3;3;3;1;1;1;1;1;2;1;3;3;NA;NA;NA;NA
71;UNION GIRONDINS DE BORDEAUX BASTIDE;N1;2122;H;22;24;1;1;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
72;UNION SPORTIVE IVRY HANDBALL;N1;2122;H;22;50;3;3;3;3;2;1;1;3;3;1;3;3;3;1;1;1;3;1;3;3;2;3;NA;NA;NA;NA
73;US CRETEIL HANDBALL;N1;2122;H;22;43;1;3;3;3;1;1;1;1;1;3;1;2;3;3;1;3;3;3;1;1;3;1;NA;NA;NA;NA
74;US DREUX VERNOUILLET HANDBALL;N1;2122;H;22;24;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA
75;US SAINTES HANDBALL;N1;2122;H;22;45;1;1;3;1;1;1;3;3;1;1;3;3;1;3;3;2;3;1;3;3;1;3;NA;NA;NA;NA
76;AMIENS PICARDIE HANDBALL;N1;2223;H;26;67;3;3;1;3;3;1;3;3;2;3;3;1;3;3;3;3;3;3;3;3;3;1;2;3;3;2
77;ANGERS SCO HANDBALL;N1;2223;H;24;64;3;3;2;3;3;3;NA;3;3;3;3;1;3;3;3;3;1;3;3;NA;2;3;3;3;3;1
78;ANNECY CSAV HANDBALL;N1;2223;H;24;58;NA;3;3;1;1;3;3;3;3;3;3;2;1;NA;3;1;3;1;2;1;3;3;3;3;3;3
79;ASB REZE HANDBALL;N1;2223;H;26;53;3;3;1;2;1;2;1;3;1;3;1;3;3;2;3;3;1;3;1;3;1;3;1;1;1;3
80;ASPTT MULHOUSE/RIXHEIM;N1;2223;H;24;57;1;1;1;3;NA;3;1;2;1;3;3;3;2;3;3;3;2;NA;3;3;3;1;3;3;3;3
81;ATHLETIC CLUB BOULOGNE BILLANCOURT;N1;2223;H;25;66;3;1;3;3;3;2;3;3;3;3;3;1;2;1;3;3;3;3;3;3;2;2;3;3;3;1
82;BEAUNE HANDBALL;N1;2223;H;26;44;3;1;1;1;3;2;3;1;1;1;1;3;3;1;3;1;1;1;1;1;3;1;2;1;1;3
83;BELFORT AUHB;N1;2223;H;26;53;3;2;2;1;3;3;1;2;3;3;1;1;2;3;3;3;1;2;1;1;1;3;1;1;3;3
84;CERCLE PAUL BERT RENNES HB;N1;2223;H;26;48;3;1;1;1;1;3;1;3;3;1;3;3;1;1;1;3;1;1;1;3;1;1;3;3;3;1
85;CERCLE SPORTIF VESULIEN HAUTE SAONE;N1;2223;H;26;54;3;3;2;1;1;2;2;3;2;3;3;3;3;3;3;1;1;1;3;3;1;1;1;1;1;3
86;CESSON RENNES METROPOLE HB;N1;2223;H;26;60;3;3;2;2;1;3;3;3;3;1;1;3;3;1;3;1;3;2;3;3;1;2;3;3;1;3
87;ELITE VAL-D’OISE;N1;2223;H;24;44;1;3;3;1;1;3;1;1;3;3;1;3;NA;2;1;3;3;1;1;3;1;2;1;1;1;NA
89;FOLSCHVILLER;N1;2223;H;26;45;1;2;3;1;2;3;3;1;3;1;1;1;2;1;1;3;1;1;1;1;3;1;3;1;3;1
90;GONFREVILLE HANDBALL;N1;2223;H;24;40;3;1;1;3;1;NA;3;2;1;1;1;3;1;1;3;1;1;2;NA;1;1;3;1;1;1;3
91;GRAND POITIERS HANDBALL;N1;2223;H;26;50;2;2;2;3;3;1;1;1;3;3;1;3;1;1;3;3;2;1;1;1;2;2;3;1;3;1
92;HAND BALL CLUB GIEN LOIRET;N1;2223;H;26;51;1;1;3;1;3;3;3;3;3;1;3;1;2;1;3;1;1;1;3;3;3;1;1;1;1;3
93;HANDBALL CLUB COURNON D'AUVERGNE;N1;2223;H;24;49;1;1;3;1;3;3;1;3;1;3;NA;3;2;3;1;1;3;3;2;2;3;1;3;NA;1;1
94;HANDBALL CLUB DE LIVRY-GARGAN;N1;2223;H;26;51;3;3;1;3;3;2;2;1;2;1;1;1;1;1;3;3;3;3;3;1;3;1;3;1;1;1
95;HANDBALL HAZEBROUCK;N1;2223;H;24;47;3;NA;3;1;3;1;3;3;3;1;1;1;3;1;NA;2;2;2;1;1;1;3;1;3;3;1
96;HBC NANTES;N1;2223;H;26;56;3;3;2;3;1;1;3;1;2;1;3;1;1;3;3;3;3;1;1;3;3;3;3;1;1;3
97;HENNEBONT-LOCHRIST HB;N1;2223;H;26;44;1;3;1;3;1;1;1;1;1;1;3;1;3;2;3;1;2;3;3;1;1;1;1;3;1;1
98;LANESTER HB;N1;2223;H;24;37;3;1;1;NA;1;1;1;1;2;1;3;1;1;2;1;2;NA;1;1;3;2;1;1;1;3;2
99;LILLE METROPOLE - HANDBALL CLUB;N1;2223;H;26;49;1;3;3;3;1;1;1;1;2;1;3;1;1;3;1;1;2;3;3;3;1;3;2;1;3;1
100;MAINVILLIERS-CHARTRES HANDBALL;N1;2223;H;26;53;2;1;3;3;3;1;1;3;1;3;1;1;1;3;1;3;3;2;2;2;1;3;1;3;3;2
101;MARTIGUES HANDBALL;N1;2223;H;24;51;1;2;1;1;3;1;1;NA;2;1;3;3;3;3;3;3;3;3;2;3;NA;3;1;3;1;1
102;MASSY ESSONNE HANDBALL;N1;2223;H;26;43;1;1;3;1;1;3;1;3;1;3;1;1;1;3;1;1;1;3;1;1;2;2;3;1;2;1
103;METZ HANDBALL;N1;2223;H;26;52;2;3;3;3;3;1;3;3;2;1;3;3;1;1;1;1;1;1;3;2;1;3;1;3;1;2
104;MOLSHEIM;N1;2223;H;26;55;1;1;1;3;1;1;1;3;1;3;3;3;3;1;3;3;3;1;1;3;1;3;3;3;3;2
105;PARIS SAINT-GERMAIN HANDBALL;N1;2223;H;23;50;3;3;3;3;1;1;1;1;NA;3;1;1;1;1;1;3;1;3;3;3;3;NA;3;1;3;3
106;PAU NOUSTY SPORTS;N1;2223;H;24;46;1;1;NA;1;3;1;3;1;3;1;1;2;1;3;3;NA;3;3;2;1;3;1;3;1;1;3
107;POUZAUGES VENDEE HANDBALL;N1;2223;H;26;47;1;1;1;1;3;1;3;1;1;1;1;3;3;1;1;1;2;1;1;3;3;3;1;3;3;3
109;SAINT CYR HANDBALL;N1;2223;H;26;55;1;2;1;1;3;3;3;1;2;3;3;3;3;3;1;3;2;1;3;1;2;1;1;3;3;2
110;SAVIGNY HB;N1;2223;H;26;42;1;3;1;1;1;1;1;1;3;1;1;1;3;3;1;1;1;3;3;1;3;1;1;1;1;3
111;SELESTAT ALSACE HANDBALL;N1;2223;H;26;36;1;1;1;3;1;1;1;3;2;1;1;1;1;1;1;1;3;1;1;2;1;1;1;3;1;1
