"","club","division","saison","HF","J1","J2","J3","J4","J5","J6","J7","J8","J9","J10","J11","J12","J13","J14","J15","J16","J17","J18","J19","J20","J21","J22","J23","J24","J25","J26","J27","J28","J29","J30","match_joue","total_point"
"11","PROVENCE AIX UNIVERSITE CLUB HANDBALL","D1","2223","H",1,4,7,10,11,14,17,18,19,20,23,26,28,29,32,33,34,35,36,37,39,42,43,46,47,48,51,52,53,54,30,54
"12","SAINT RAPHAEL VHB","D1","2223","H",3,4,5,6,7,10,11,14,15,18,19,22,25,26,27,28,31,34,35,38,41,42,43,44,45,46,49,50,53,56,30,56
"13","SELESTAT ALSACE HANDBALL","D1","2223","H",1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,20,21,24,25,26,28,29,32,33,34,36,37,40,41,42,30,42
"14","US CRETEIL HANDBALL","D1","2223","H",1,2,5,6,7,10,11,12,15,16,17,18,19,21,24,25,28,29,32,33,35,36,37,38,41,42,43,44,45,46,30,46
"15","US IVRY HANDBALL","D1","2223","H",1,4,5,8,9,10,11,13,14,15,16,17,19,22,23,24,25,26,29,32,34,35,36,37,38,40,41,44,47,48,30,48
"16","USAM NIMES GARD","D1","2223","H",1,4,7,8,11,14,15,18,19,22,23,26,27,30,33,36,37,38,41,44,47,50,51,54,57,60,63,65,68,71,30,71
"17","BESANCON HANDBALL","D2","2223","H",1,2,3,6,7,10,11,12,13,14,17,20,21,22,23,24,25,28,29,32,35,36,37,40,41,42,43,44,45,47,30,47
"18","BILLERE HANDBALL","D2","2223","H",3,4,5,8,9,12,13,14,17,20,22,23,24,27,30,31,32,33,36,37,39,40,43,46,49,52,53,56,59,62,30,62
"19","BORDEAUX HANDBALL","D2","2223","H",3,6,9,12,13,14,17,18,21,22,23,26,28,29,30,33,36,37,38,39,41,44,47,48,50,53,54,57,60,63,30,63
"20","CAEN HANDBALL","D2","2223","H",3,6,9,10,11,12,13,16,19,22,24,26,28,29,32,35,38,39,40,43,46,49,50,51,52,53,56,57,60,63,30,63
"21","CHERBOURG HB","D2","2223","H",1,4,5,6,9,10,11,14,15,18,19,20,22,23,24,26,29,30,33,35,38,39,40,43,46,47,48,51,52,53,30,53
"22","DIJON METROPOLE HB","D2","2223","H",3,6,9,10,13,16,19,22,23,26,29,32,35,37,40,43,46,47,50,52,55,58,61,62,65,68,69,72,73,76,30,76
"23","FRONTIGNAN HANDBALL","D2","2223","H",3,4,7,10,12,13,16,19,22,23,24,27,30,33,36,39,42,45,48,51,54,55,58,59,62,63,66,67,70,72,30,72
"24","MASSY ESSONNE HB","D2","2223","H",3,6,7,8,9,12,13,14,17,18,21,24,27,29,32,34,35,36,37,38,39,40,43,46,47,48,49,50,53,54,30,54
"25","NANCY METROPOLE","D2","2223","H",3,4,5,6,9,10,13,16,17,20,21,22,25,28,29,32,33,36,39,40,41,43,44,46,47,50,53,54,57,59,30,59
"26","PONTAULT-COMBAULT HANDBALL","D2","2223","H",3,6,8,11,14,17,20,23,24,27,30,31,32,35,38,41,42,45,48,51,52,55,58,61,64,65,68,71,72,73,30,73
"27","SARAN LOIRET HB","D2","2223","H",1,4,7,10,13,15,18,21,22,25,28,31,33,36,39,40,43,44,47,50,53,56,57,60,63,66,69,72,75,78,30,78
"28","SARREBOURG MOSELLE SUD HANDBALL","D2","2223","H",1,2,5,8,11,14,17,18,21,22,23,24,27,28,29,30,31,34,37,38,39,42,45,46,48,51,54,57,58,61,30,61
"29","STRASBOURG HANDBALL","D2","2223","H",1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,20,21,22,23,24,25,26,27,28,29,32,33,34,35,30,35
