code_rencontre,club_recevant,coach_recevant,club_visiteur,coach_visiteur,journee,score_final_r,score_final_v,fichier,score_recevant_59_min,score_visiteur_59_min,equipe,statut_59_min,statut_final,effet_positif,TM_derniere_min,TM_derniere_min_adverse,HF,DM,DM_adverse,division,saison
PADFTYN,MASSY ESSONNE HB,ROUSSEL jeremy,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,J5,26,24,rencontre_D2H_2021_563.pdf,25,23,R,1,1,1,1,0,H,1,0,D2,2021
PADFTYP,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,J5,28,25,rencontre_D2H_2021_565.pdf,27,25,R,1,1,1,0,0,H,0,0,D2,2021
PADFTZU,ANGERS SCO HANDBALL,DUPIN guillaume,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,J10,24,24,rencontre_D2H_2021_596.pdf,24,23,R,1,0,0,0,0,H,0,0,D2,2021
PADFTZV,MASSY ESSONNE HB,ROUSSEL jeremy,DIJON METROPOLE HB,CHADUTEAUD ulrich,J10,24,20,rencontre_D2H_2021_597.pdf,23,20,R,1,1,1,0,0,H,0,0,D2,2021
PADFUAA,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,J10,25,29,rencontre_D2H_2021_602.pdf,25,28,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFUAF,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,GRAND NANCY METROPOLE HB,BRAUX benjamin,J11,28,29,rencontre_D2H_2021_607.pdf,27,29,R,-1,-1,0,1,1,H,0,0,D2,2021
PADFUAG,SARAN LOIRET HB,COURTIAL fabien,SELESTAT ALSACE HANDBALL,VIENNET christophe,J11,28,26,rencontre_D2H_2021_608.pdf,27,25,R,1,1,1,0,0,H,0,0,D2,2021
PADFUAI,GRAND BESANCON DOUBS HANDBALL,ZOVKO dragan,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,J12,26,26,rencontre_D2H_2021_610.pdf,25,26,R,-1,0,1,0,1,H,0,0,D2,2021
PADFUAL,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,VALENCE HANDBALL,FORETS eric,J12,30,27,rencontre_D2H_2021_613.pdf,29,26,R,1,1,1,0,0,H,0,0,D2,2021
PADFUAP,ANGERS SCO HANDBALL,DUPIN guillaume,GRAND BESANCON DOUBS HANDBALL,ZOVKO dragan,J13,29,25,rencontre_D2H_2021_617.pdf,28,25,R,1,1,1,0,0,H,0,0,D2,2021
PADFUAR,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,MASSY ESSONNE HB,ROUSSEL jeremy,J13,24,22,rencontre_D2H_2021_619.pdf,23,22,R,1,1,1,0,0,H,0,0,D2,2021
PADFUAU,SARAN LOIRET HB,COURTIAL fabien,GRAND NANCY METROPOLE HB,BRAUX benjamin,J13,31,30,rencontre_D2H_2021_622.pdf,30,29,R,1,1,1,1,0,H,1,1,D2,2021
PADFUAV,VALENCE HANDBALL,FORETS eric,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,J13,34,33,rencontre_D2H_2021_623.pdf,33,32,R,1,1,1,0,0,H,0,0,D2,2021
PADFUAX,MASSY ESSONNE HB,ROUSSEL jeremy,SELESTAT ALSACE HANDBALL,VIENNET christophe,J14,25,22,rencontre_D2H_2021_625.pdf,24,22,R,1,1,1,0,0,H,0,0,D2,2021
PADFUBB,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,DIJON METROPOLE HB,CHADUTEAUD ulrich,J14,23,22,rencontre_D2H_2021_629.pdf,22,22,R,0,1,1,1,1,H,1,0,D2,2021
PADFUBD,ANGERS SCO HANDBALL,DUPIN guillaume,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,J15,25,29,rencontre_D2H_2021_631.pdf,25,28,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFUBE,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,J15,21,23,rencontre_D2H_2021_632.pdf,20,23,R,-1,-1,0,0,1,H,0,0,D2,2021
PADFUBF,DIJON METROPOLE HB,CHADUTEAUD ulrich,MASSY ESSONNE HB,ROUSSEL jeremy,J15,23,23,rencontre_D2H_2021_633.pdf,23,22,R,1,0,0,1,0,H,1,0,D2,2021
PADFUBP,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,ANGERS SCO HANDBALL,DUPIN guillaume,J16,26,25,rencontre_D2H_2021_643.pdf,25,24,R,1,1,1,1,0,H,0,1,D2,2021
PADFUBR,GRAND BESANCON DOUBS HANDBALL,ZOVKO dragan,VALENCE HANDBALL,FORETS eric,J17,30,28,rencontre_D2H_2021_645.pdf,30,27,R,1,1,1,0,0,H,0,0,D2,2021
PADFUBS,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,ANGERS SCO HANDBALL,DUPIN guillaume,J17,24,27,rencontre_D2H_2021_646.pdf,24,26,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFUBV,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,J17,26,25,rencontre_D2H_2021_649.pdf,25,24,R,1,1,1,1,0,H,1,1,D2,2021
PADFUBZ,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,MASSY ESSONNE HB,ROUSSEL jeremy,J18,25,27,rencontre_D2H_2021_653.pdf,24,26,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFUCB,DIJON METROPOLE HB,CHADUTEAUD ulrich,SARAN LOIRET HB,COURTIAL fabien,J18,27,29,rencontre_D2H_2021_655.pdf,27,28,R,-1,-1,0,0,1,H,0,0,D2,2021
PADFUCC,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,GRAND BESANCON DOUBS HANDBALL,ZOVKO dragan,J18,30,32,rencontre_D2H_2021_656.pdf,29,32,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFUCE,VALENCE HANDBALL,FORETS eric,GRAND NANCY METROPOLE HB,BRAUX benjamin,J18,25,26,rencontre_D2H_2021_658.pdf,24,25,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFUCG,MASSY ESSONNE HB,ROUSSEL jeremy,VALENCE HANDBALL,FORETS eric,J19,28,24,rencontre_D2H_2021_660.pdf,27,24,R,1,1,1,0,0,H,0,0,D2,2021
PADFUCJ,UMS PONTAULT-COMBAULT HANDBALL,HAMANI cherif,BILLERE HANDBALL PAU PYRENEES,DEHERME daniel,J19,30,29,rencontre_D2H_2021_663.pdf,29,27,R,1,1,1,0,0,H,1,0,D2,2021
PADFUCR,SELESTAT ALSACE HANDBALL,VIENNET christophe,GRAND NANCY METROPOLE HB,BRAUX benjamin,J20,31,32,rencontre_D2H_2021_671.pdf,30,32,R,-1,-1,0,0,1,H,0,0,D2,2021
PADFUCS,VALENCE HANDBALL,FORETS eric,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,J20,31,29,rencontre_D2H_2021_672.pdf,31,28,R,1,1,1,0,0,H,1,0,D2,2021
PADFUCY,SARREBOURG MOSELLE SUD HANDBALL,BONDANT christophe,DIJON METROPOLE HB,CHADUTEAUD ulrich,J21,25,26,rencontre_D2H_2021_678.pdf,25,25,R,0,-1,0,0,0,H,0,1,D2,2021
PADFUDD,MASSY ESSONNE HB,ROUSSEL jeremy,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,J22,28,25,rencontre_D2H_2021_683.pdf,26,23,R,1,1,1,0,0,H,0,0,D2,2021
PADFUDH,ANGERS SCO HANDBALL,DUPIN guillaume,DIJON METROPOLE HB,CHADUTEAUD ulrich,J23,27,24,rencontre_D2H_2021_687.pdf,27,24,R,1,1,1,0,0,H,0,0,D2,2021
PADFUDI,GRAND BESANCON DOUBS HANDBALL,ZOVKO dragan,MASSY ESSONNE HB,ROUSSEL jeremy,J23,30,31,rencontre_D2H_2021_688.pdf,29,31,R,-1,-1,0,0,0,H,1,1,D2,2021
PADFUDN,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,LATHOUD denis,JS CHERBOURGEOISE MANCHE HB,BOUGEANT frederic,J23,30,33,rencontre_D2H_2021_693.pdf,30,32,R,-1,-1,0,0,0,H,0,0,D2,2021
PADFUDQ,MASSY ESSONNE HB,ROUSSEL jeremy,E. STRASBOURG SCHILTIGHEIM ALSACE HANDBALL,CHAUDEUR louis,J24,29,30,rencontre_D2H_2021_696.pdf,29,29,R,0,-1,0,0,0,H,0,0,D2,2021
PADFUDW,GRAND BESANCON DOUBS HANDBALL,ZOVKO dragan,CAVIGAL NICE SPORTS HANDBALL,MARCOS asier,J25,27,27,rencontre_D2H_2021_702.pdf,26,27,R,-1,0,1,1,0,H,0,0,D2,2021
