club;division;saison;HF;match_joue;total_point;J1;J2;J3;J4;J5;J6;J7;J8;J9;J10;J11;J12;J13;J14;J15;J16;J17;J18;J19;J20;J21;J22;J23;J24;J25;J26
STRASBOURG ASPTT;N1;2021;F;3;5;3;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TOULON/SAINT-CYR VAR HANDBALL;N1;2021;F;3;5;1;3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
TOULOUSE FEMININ HANDBALL;N1;2021;F;2;5;3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
UNION PAYS D'AIX BOUC HANDBALL;N1;2021;F;3;9;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
UNION SPORTIVE ALFORTVILLE HANDBALL;N1;2021;F;2;4;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
US ALTKIRCH;N1;2021;F;3;9;3;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
US MIOS BIGANOS BASSIN D'ARCACHON;N1;2021;F;3;7;3;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
US PALAISEAU;N1;2021;F;2;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
YUTZ HANDBALL FEMININ;N1;2021;F;3;5;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
ACHENHEIM TRUCHTERSHEIM;N1;2122;F;26;40;2;1;1;2;1;1;3;1;1;1;3;3;1;3;1;1;1;1;1;1;1;1;3;3;1;1
ANGOULEME CHARENTE HANDBALL;N1;2122;F;26;55;3;3;1;3;1;3;3;1;3;1;3;2;3;3;3;1;1;1;3;3;1;3;1;1;1;3
ANNECY CSAV HANDBALL;N1;2122;F;26;50;1;1;3;3;1;3;3;3;1;2;1;1;1;1;1;3;1;1;3;3;3;2;3;1;3;1
AUNIS HB LA ROCHELLE PERIGNY;N1;2122;F;26;43;1;1;3;3;1;3;1;1;1;1;1;3;1;1;1;1;3;1;2;1;1;3;1;3;1;3
BASSIN MUSSIPONTAIN HANDBALL;N1;2122;F;26;35;1;1;1;2;1;1;1;1;3;1;1;1;1;1;1;1;3;1;1;1;1;3;1;1;3;1
BERGERAC PERIGORD POURPRE HANDBALL;N1;2122;F;26;48;1;1;3;1;3;1;3;1;1;3;1;1;3;1;1;3;1;3;1;3;1;1;3;1;3;3
BLANZAT SPORT MONTLUCON;N1;2122;F;25;49;1;1;3;1;3;3;3;1;3;3;1;1;1;1;1;3;1;3;3;3;NA;2;2;1;3;1
BORDES SPORTS;N1;2122;F;26;47;1;3;1;3;3;1;1;3;1;1;3;1;3;1;2;1;3;1;1;1;3;1;3;3;1;1
BOURG DE PEAGE DROME HANDBALL;N1;2122;F;26;56;3;3;3;1;3;1;3;1;3;2;3;3;1;3;3;3;3;3;1;2;1;3;1;1;1;1
BREST BRETAGNE HANDBALL;N1;2122;F;26;45;3;1;1;3;1;3;1;3;1;3;1;1;1;NA;1;1;3;3;3;1;3;1;1;1;1;3
BRUGUIERES OCCITAN CLUB;N1;2122;F;26;44;1;1;1;3;3;1;3;1;3;3;1;2;1;2;1;1;3;1;1;3;1;1;1;1;3;1
CERGY HANDBALL;N1;2122;F;26;40;1;1;1;1;1;1;1;1;1;2;1;1;3;1;2;3;3;1;1;1;1;1;3;3;1;3
CHAMBRAY TOURAINE HANDBALL;N1;2122;F;26;54;3;3;3;1;1;1;3;1;3;3;3;1;1;3;3;3;3;1;1;3;1;3;1;1;3;1
CHEVIGNY ST SAUVEUR HANDBALL;N1;2122;F;26;46;1;1;3;3;1;3;1;3;1;1;1;1;3;1;1;3;3;1;3;1;3;1;1;1;1;3
CJF FLEURY LOIRET HANDBALL;N1;2122;F;26;47;1;1;1;3;3;1;3;1;1;1;3;1;1;1;3;3;1;3;3;3;1;2;1;3;1;1
CLUB LAIQUE COLOMBELLES HANDBALL;N1;2122;F;26;64;3;3;3;1;2;2;3;3;3;3;3;3;3;1;3;1;1;3;3;3;3;1;3;1;3;3
COTE BASQUE HB;N1;2122;F;26;60;3;2;3;3;1;3;3;3;3;1;3;1;3;2;3;3;3;3;3;1;3;3;1;1;1;1
EPINAL HB;N1;2122;F;26;42;1;3;1;1;3;1;1;1;1;3;1;3;1;1;3;1;1;3;1;1;3;1;1;1;3;1
ES BESANCON FEMININ;N1;2122;F;26;59;1;1;3;1;3;3;3;3;3;2;1;3;3;1;1;3;1;3;3;3;1;3;3;1;3;3
HANDBALL CLUB SERRIS VAL D'EUROPE;N1;2122;F;26;38;1;3;1;3;1;1;1;1;1;1;1;3;1;1;3;1;1;1;1;3;1;3;1;1;1;1
HARNES H.B.C.;N1;2122;F;26;58;3;3;3;1;3;1;3;3;1;1;3;1;1;3;3;2;1;3;2;3;3;1;3;3;1;3
HAVRE ATHLETIC CLUB HB;N1;2122;F;26;30;1;1;1;3;1;1;1;1;3;1;1;1;1;1;1;1;1;1;1;1;NA;2;1;1;1;1
