"","club","division","saison","HF","match_joue","total_point","journee","points"
"259","BORDEAUX BRUGES","N1","2122","H",22,56,"J14",34
"260","BORDEAUX BRUGES","N1","2122","H",22,56,"J15",37
"261","BORDEAUX BRUGES","N1","2122","H",22,56,"J16",40
"262","BORDEAUX BRUGES","N1","2122","H",22,56,"J17",42
"263","BORDEAUX BRUGES","N1","2122","H",22,56,"J18",45
"264","BORDEAUX BRUGES","N1","2122","H",22,56,"J19",47
"265","BORDEAUX BRUGES","N1","2122","H",22,56,"J20",49
"266","BORDEAUX BRUGES","N1","2122","H",22,56,"J21",52
"267","BORDEAUX BRUGES","N1","2122","H",22,56,"J22",55
"268","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J1",0
"269","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J2",3
"270","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J3",4
"271","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J4",7
"272","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J5",9
"273","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J6",12
"274","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J7",14
"275","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J8",17
"276","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J9",19
"277","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J10",22
"278","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J11",24
"279","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J12",27
"280","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J13",29
"281","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J14",32
"282","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J15",33
"283","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J16",36
"284","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J17",37
"285","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J18",39
"286","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J19",40
"287","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J20",43
"288","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J21",44
"289","CERCLE PAUL BERT RENNES HB","N1","2122","H",22,50,"J22",47
"290","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J1",0
"291","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J2",3
"292","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J3",6
"293","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J4",7
"294","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J5",8
"295","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J6",10
"296","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J7",12
"297","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J8",15
"298","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J9",17
"299","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J10",18
"300","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J11",21
"301","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J12",22
"302","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J13",24
"303","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J14",25
"304","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J15",26
"305","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J16",29
"306","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J17",32
"307","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J18",34
"308","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J19",37
"309","CESSON RENNES METROPOLE HB","N1","2122","H",22,45,"J20",38
