"code_rencontre","club_recevant","coach_recevant","club_visiteur","coach_visiteur","score_final_r","score_final_v","fichier","score_recevant_59_min","score_visiteur_59_min","equipe","statut_59_min","statut_final","effet_positif","TM_derniere_min","TM_derniere_min_adverse","HF","DM","DM_adverse","division","saison","club_ref","club_opp","points_classement","points_opp","diff_classement"
"SAECVDI","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",34,31,"rencontre_D1F_2223_3083 2.pdf",33,30,"R",1,1,1,0,0,"F",0,0,"D1","2223","bouillargues handball nimes metropole","provence aix universite club handball",NA,NA,NA
"SAECVDI","OGC NICE COTE D'AZUR HANDBALL","ALCACER clement","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry",34,31,"rencontre_D1F_2223_3083.pdf",33,30,"R",1,1,1,0,0,"F",0,0,"D1","2223","bouillargues handball nimes metropole","provence aix universite club handball",NA,NA,NA
"SAECVDK","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane","METZ HANDBALL","MAYONNADE emmanuel",32,33,"rencontre_D1F_2223_3085 2.pdf",31,32,"R",-1,-1,0,0,1,"F",0,1,"D1","2223","le pouzin hb 07","limoges hand 87",NA,NA,NA
"SAECVDK","TOULON METROPOLE VAR HANDBALL","PLANTIN stephane","METZ HANDBALL","MAYONNADE emmanuel",32,33,"rencontre_D1F_2223_3085.pdf",31,32,"R",-1,-1,0,0,1,"F",0,1,"D1","2223","le pouzin hb 07","limoges hand 87",NA,NA,NA
"SAECVDP","PARIS 92","MESSAOUDI yacine","LES NEPTUNES DE NANTES","THOMSEN helle",22,21,"rencontre_D1F_2223_3090 2.pdf",21,21,"R",0,1,1,1,0,"F",0,1,"D1","2223","nancy handball","les neptunes de nantes",NA,56,NA
"SAECVDP","PARIS 92","MESSAOUDI yacine","LES NEPTUNES DE NANTES","THOMSEN helle",22,21,"rencontre_D1F_2223_3090.pdf",21,21,"R",0,1,1,1,0,"F",0,1,"D1","2223","nancy handball","les neptunes de nantes",NA,56,NA
"SAECVDT","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry","MERIGNAC HANDBALL","CHAGNARD christophe",30,32,"rencontre_D1F_2223_3094 2.pdf",29,31,"R",-1,-1,0,0,0,"F",0,0,"D1","2223","provence aix universite club handball","handball clermont auvergne metropole 63",NA,NA,NA
"SAECVDT","CELLES SUR BELLE MELLOIS EN POITOU","VINCENT thierry","MERIGNAC HANDBALL","CHAGNARD christophe",30,32,"rencontre_D1F_2223_3094.pdf",29,31,"R",-1,-1,0,0,0,"F",0,0,"D1","2223","provence aix universite club handball","handball clermont auvergne metropole 63",NA,NA,NA
"SAECVDW","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","ES BESANCON FEMININ","MIZOULE sebastien",24,25,"rencontre_D1F_2223_3097 2.pdf",24,24,"R",0,-1,0,1,1,"F",0,1,"D1","2223","st amand handball -  porte du hainaut","handball clermont auvergne metropole 63",34,NA,NA
"SAECVDW","CHAMBRAY TOURAINE HANDBALL","LANFRANCHI mathieu","ES BESANCON FEMININ","MIZOULE sebastien",24,25,"rencontre_D1F_2223_3097.pdf",24,24,"R",0,-1,0,1,1,"F",0,1,"D1","2223","st amand handball -  porte du hainaut","handball clermont auvergne metropole 63",34,NA,NA
"SAECVED","ES BESANCON FEMININ","MIZOULE sebastien","HANDBALL PLAN DE CUQUES","SPINCER angelique",26,25,"rencontre_D1F_2223_3104 2.pdf",25,24,"R",1,1,1,0,0,"F",1,0,"D1","2223","handball clermont auvergne metropole 63","provence aix universite club handball",NA,NA,NA
